Stedtype,StedID,Stedtekst,GeoZone,x-koordinat,y-koordinat,Kommune,Region,Medie,Vandområde,Dato,Måling nr,Undersøgelsestype,Teknisk anvisning,Dataejer,Link,Målested navn,Målested GeoZone,"Målested, x-koordinat","Målested, y-koordinat",Dybdemåling nr,Startdato,Bunddybde (m),Sigtdybde (m),Springlag,Springlag startdybde (m),Springlag slutdybde (m),Sigt til bund,Højdereference,Referencekote (m),Målt vandstand (m),Vandstandskote (m),Kvalitetsmærke
Station,49000042,"ARRESØ, kemi",32,693898,6209574,Halsnæs,Region Hovedstaden,Sø,Arresø,20-06-2007,1,"Måledybder, Sø",Ja,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/474ba545-f982-4f96-9fe0-b5a6cead87e2,Aktivitetssted,32,693898,6209574,1,20-06-2007 11:00:00 +02:00,"4,7","0,7",,,,Nej,,,,,2
Station,49000042,"ARRESØ, kemi",32,693898,6209574,Halsnæs,Region Hovedstaden,Sø,Arresø,7/3/24,1,"Måledybder, Sø",Ja,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/d929dce6-e39f-4541-bf68-79d437806bfd,49000042,32,"6,938,980,170,014,180","6,209,573,957,434,570",1,07-03-2024 10:57:14 +01:00,"4,6","0,9",,,,Nej,,,,,2
Station,49000042,"ARRESØ, kemi",32,693898,6209574,Halsnæs,Region Hovedstaden,Sø,Arresø,4/8/73,1,"Måledybder, Sø",Ja,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/cd64fe4f-c395-42ec-b822-5c2c002910ff,Aktivitetssted,32,693898,6209574,1,04-08-1973 09:00:00 +01:00,9999,"0,3",,,,Nej,,,,,2
Station,49000042,"ARRESØ, kemi",32,693898,6209574,Halsnæs,Region Hovedstaden,Sø,Arresø,15-10-1996,1,"Måledybder, Sø",Ja,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/a67979b7-6fce-4c17-a0e4-0ccdaf4ae851,Aktivitetssted,32,693898,6209574,1,15-10-1996 10:50:00 +02:00,"4,5","0,5",,,,Nej,,,,,2
Station,49000042,"ARRESØ, kemi",32,693898,6209574,Halsnæs,Region Hovedstaden,Sø,Arresø,6/5/14,1,"Måledybder, Sø",Ja,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/a9b6bf84-552c-48af-8e43-0ef76dd593d8,Aktivitetssted,32,693898,6209574,1,06-05-2014 10:00:00 +02:00,"4,5","0,8",,,,Nej,,,,,3
Station,49000042,"ARRESØ, kemi",32,693898,6209574,Halsnæs,Region Hovedstaden,Sø,Arresø,5/4/18,1,"Måledybder, Sø",Ja,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/687826e3-b699-41e6-b00e-a8dedca6d175,Aktivitetssted,32,693898,6209574,1,05-04-2018 10:00:00 +02:00,"4,2","0,6",,,,Nej,,,,,3
Station,49000042,"ARRESØ, kemi",32,693898,6209574,Halsnæs,Region Hovedstaden,Sø,Arresø,22-06-1999,1,"Måledybder, Sø",Ja,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/75ebc327-5c81-488f-8d27-f0d3f555af60,Aktivitetssted,32,693898,6209574,1,22-06-1999 10:20:00 +02:00,"4,8","0,3",,,,Nej,,,,,2
Station,49000042,"ARRESØ, kemi",32,693898,6209574,Halsnæs,Region Hovedstaden,Sø,Arresø,14-06-1994,1,"Måledybder, Sø",Ja,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/cd5f31dc-ccb6-4a54-80cb-867d6f837028,Aktivitetssted,32,693898,6209574,1,14-06-1994 10:00:00 +02:00,"4,4","0,5",,,,Nej,,,,,2
Station,49000042,"ARRESØ, kemi",32,693898,6209574,Halsnæs,Region Hovedstaden,Sø,Arresø,5/3/01,1,"Måledybder, Sø",Ja,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/401e9fbd-4c0a-4c5d-a286-118ca54e6bec,Aktivitetssted,32,693898,6209574,1,05-03-2001 10:20:00 +01:00,9999,"0,6",,,,Nej,,,,,2
Station,49000042,"ARRESØ, kemi",32,693898,6209574,Halsnæs,Region Hovedstaden,Sø,Arresø,24-04-2012,1,"Måledybder, Sø",Ja,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/a498a8b7-2b65-427a-9011-cf44d532a630,Aktivitetssted,32,693898,6209574,1,24-04-2012 13:50:00 +02:00,"4,8","0,6",,,,Nej,,,,,2
