﻿Stedtype;StedID;Stedtekst;Referencer;GeoZone;x-koordinat;y-koordinat;Kommune;Region;Medie;Vandområde;Dato;Måling nr;Undersøgelsestype;Teknisk anvisning;Dataejer;Link;Målested navn;Målested GeoZone;Målested, x-koordinat;Målested, y-koordinat;Prøvetagning;Prøve;Prøvetype;Dybde (m);Faktiske dybder (m);Delprøve;Analysefraktion;CASnr;ScKode;Stofparameter;Resultat-attribut;Resultat;Enhed;Detektionsgrænse LD;Kvantifikationsgrænse LQ;Kvalitetsmærke
Station;49000042;ARRESØ, kemi;FRB1690;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;01-06-1977;1;Vandkemi, Sø;Nej;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/0d673636-b21b-4008-9c0d-37b6ddf80162;Aktivitetssted;32;693897,9998371173;6209574,003614174;1;1;Enkeltprøve;0;0;1;Total;;53;Alkalinitet,total TA; =;3,37;mmol/l;9999999;;2
Station;49000042;ARRESØ, kemi;FRB1690;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;02-07-2018;1;Vandkemi, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/525f432c-c9ef-49fb-a411-d1481bc58b01;Aktivitetssted;32;693897,9998371173;6209574,003614174;1;1;Blandingsprøve;0,35;"0,5; 0,2";1;Total;;261;Phosphor, total-P; =;0,13;mg/l;0,003;;3
Station;49000042;ARRESØ, kemi;FRB1690;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;03-09-2024;1;Vandkemi, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/20cdb4de-aae1-4ef1-bf64-a088a945ecb3;Aktivitetssted;32;693897,9998364563;6209574,003611643;1;1;Blandingsprøve;0,46666666666666673;"0,2; 0,4; 0,8";1;Opløst - filtrat fra filtrering;;256;Ortho-phosphat-P; =;0,0031;mg/l;0,001;0,003;2
Station;49000042;ARRESØ, kemi;FRB1690;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;02-07-2013;1;Vandkemi, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/1239fbac-1c98-4fad-906c-835583231a05;Aktivitetssted;32;693897,9998371173;6209574,003614174;1;1;Blandingsprøve;0,6666666666666666;"0,2; 0,6; 1,2";1;Total;;312;Jern; =;0,14;mg/l;0,02;;3
Station;49000042;ARRESØ, kemi;FRB1690;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;12-04-1976;1;Vandkemi, Sø;Nej;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/467df319-1e3a-4bc0-84ad-846710f5cc55;Aktivitetssted;32;693897,9998371173;6209574,003614174;1;3;Enkeltprøve;3;3;1;Opløst - filtrat fra filtrering;;256;Ortho-phosphat-P; =;0,31;mg/l;9999999;;2
Station;49000042;ARRESØ, kemi;FRB1690;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;16-08-2007;1;Vandkemi, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/1b89241d-e53c-4270-a982-24f641b57d9c;Aktivitetssted;32;693897,9998371173;6209574,003614174;1;1;Blandingsprøve;0,4566666666666667;"0,2; 0,78; 0,39";1;Total;;1039;Chlorophyl (ukorrigeret); =;116;µg/l;9999999;;2
Station;49000042;ARRESØ, kemi;FRB1690;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;11-04-2000;1;Vandkemi, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/8cb0acdf-cee3-4b28-b61c-dd962ae404e7;Aktivitetssted;32;693897,9998371173;6209574,003614174;1;1;Blandingsprøve;0,6666666666666666;"0,6; 0,2; 1,2";1;Total;;40;Glødetab,susp.stof; =;27;mg/l;9999999;;2
Station;49000042;ARRESØ, kemi;FRB1690;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;15-07-2003;1;Vandkemi, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/12d17854-f339-4341-98e5-02000c0ec480;Aktivitetssted;32;693897,9998371173;6209574,003614174;1;1;Blandingsprøve;0,8666666666666667;"0,2; 0,8; 1,6";1;Opløst - filtrat fra filtrering;;241;Ammoniak+ammonium-N; =;0,03;mg/l;9999999;;2
Station;49000042;ARRESØ, kemi;FRB1690;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;16-10-1995;1;Vandkemi, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/e5639957-b9db-4f9c-9ea1-0e42c2e3a7a7;Aktivitetssted;32;693897,9998371173;6209574,003614174;1;1;Blandingsprøve;0,3499999999999999;"0,35; 0,7; 0";1;Total;;185;COD, susp.stof ; =;90;mg/l;9999999;;2
Station;49000042;ARRESØ, kemi;FRB1690;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;30-07-1998;1;Vandkemi, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7c52296d-139e-4795-8a5a-e02580a871e8;Aktivitetssted;32;693897,9998371173;6209574,003614174;1;1;Blandingsprøve;0,46666666666666673;"0,2; 0,4; 0,8";1;Total;;40;Glødetab,susp.stof; =;43;mg/l;9999999;;2
Station;49000042;ARRESØ, kemi;FRB1690;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;19-05-1998;1;Vandkemi, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/e4c25e10-8e64-4c73-8660-786807957f99;Aktivitetssted;32;693897,9998371173;6209574,003614174;1;1;Blandingsprøve;0,5666666666666667;"1; 0,2; 0,5";1;Total;;5;Konduktivitet; =;50,5;mS/m;9999999;;2
Station;49000042;ARRESØ, kemi;FRB1690;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;11-09-2020;1;Vandkemi, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/525bd3c8-ce3a-4280-b949-c7a24e731c93;Aktivitetssted;32;693897,9998371173;6209574,003614174;1;1;Blandingsprøve;0,5666666666666667;"1; 0,5; 0,2";1;Total;;261;Phosphor, total-P; =;0,12;mg/l;0,003;;2
Station;49000042;ARRESØ, kemi;FRB1690;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;13-10-2022;1;Vandkemi, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/92dbaaf8-0f4a-4d52-a20c-9d6e4b4888a9;Aktivitetssted;32;693897,9998364563;6209574,003611643;1;1;Blandingsprøve;0,5666666666666667;"0,2; 0,5; 1";1;Total;;253;Nitrogen,total N; =;2,6;mg/l;0,02;;2
Station;49000042;ARRESØ, kemi;FRB1690;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;03-01-2001;1;Vandkemi, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/648967a8-24ce-4143-bef2-bb999504359b;Aktivitetssted;32;693897,9998371173;6209574,003614174;1;1;Blandingsprøve;0,8666666666666667;"0,2; 1,6; 0,8";1;Total;;53;Alkalinitet,total TA; =;3,07;mmol/l;9999999;;2
Station;49000042;ARRESØ, kemi;FRB1690;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;13-02-1979;1;Vandkemi, Sø;Nej;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c5a567b3-93c0-4b2d-ac7b-166323d235a2;Aktivitetssted;32;693897,9998371173;6209574,003614174;1;3;Enkeltprøve;4;4;1;Total;;261;Phosphor, total-P; =;0,963;mg/l;9999999;;2
Station;49000042;ARRESØ, kemi;FRB1690;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;28-09-2020;1;Vandkemi, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c69f5641-f9de-4d8e-8884-539b554978d9;Aktivitetssted;32;693897,9998371173;6209574,003614174;1;1;Blandingsprøve;0,4;"0,2; 0,6";1;Total;;261;Phosphor, total-P; =;0,092;mg/l;0,003;;2
Station;49000042;ARRESØ, kemi;FRB1690;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;30-09-2014;1;Vandkemi, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7e74e845-58d6-4ebf-8d0d-ac02953cd3d5;Aktivitetssted;32;693897,9998371173;6209574,003614174;1;1;Blandingsprøve;0,7666666666666666;"0,2; 0,7; 1,4";1;Opløst - filtrat fra filtrering;;251;Nitrit+nitrat-N; =;0,008;mg/l;0,005;;3
Station;49000042;ARRESØ, kemi;FRB1690;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;25-05-1999;1;Vandkemi, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/3875a647-3276-4a07-9c17-89107dc1f4ac;Aktivitetssted;32;693897,9998371173;6209574,003614174;1;1;Blandingsprøve;0,3666666666666667;"0,6; 0,3; 0,2";1;Total;;53;Alkalinitet,total TA; =;1,71;mmol/l;9999999;;2
Station;49000042;ARRESØ, kemi;FRB1690;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;10-10-2011;1;Vandkemi, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7e259d66-9f4e-45d0-9b7a-6d7c3be7c7b6;Aktivitetssted;32;693897,9998371173;6209574,003614174;1;1;Blandingsprøve;0,4166666666666667;"0,7; 0,35; 0,2";1;Total;;13;pH; =;8,3;pH;9999999;;3
Station;49000042;ARRESØ, kemi;FRB1690;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;09-12-1993;1;Vandkemi, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d4a69dd2-3c02-44c9-baed-edc21480d9c7;Aktivitetssted;32;693897,9998371173;6209574,003614174;1;1;Blandingsprøve;0,30000000000000004;"0,4; 0,2";1;Opløst - filtrat fra filtrering;;241;Ammoniak+ammonium-N;<;0,01;mg/l;9999999;;2
Station;49000042;ARRESØ, kemi;FRB1690;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;29-04-2010;1;Vandkemi, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/39b86142-b5ec-4b31-a47c-50f40384d847;Aktivitetssted;32;693897,9998371173;6209574,003614174;1;1;Blandingsprøve;0,6166666666666667;"0,2; 0,55; 1,1";1;Opløst - filtrat fra filtrering;;329;Silicium; =;0,008;mg/l;9999999;;3
Station;49000042;ARRESØ, kemi;FRB1690;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;21-09-1993;1;Vandkemi, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/0746f914-c03d-4215-9c17-aa746a0c2b44;Aktivitetssted;32;693897,9998371173;6209574,003614174;1;1;Enkeltprøve;0,2;0,2;1;Total;;1039;Chlorophyl (ukorrigeret); =;440;µg/l;9999999;;2
Station;49000042;ARRESØ, kemi;FRB1690;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;19-05-1998;1;Vandkemi, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/e4c25e10-8e64-4c73-8660-786807957f99;Aktivitetssted;32;693897,9998371173;6209574,003614174;1;1;Blandingsprøve;0,5666666666666667;"1; 0,2; 0,5";1;Opløst - filtrat fra filtrering;;251;Nitrit+nitrat-N; =;0,02;mg/l;9999999;;2
Station;49000042;ARRESØ, kemi;FRB1690;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;01-10-2012;1;Vandkemi, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/fa4c605e-c04e-4566-a0c1-b6001b157d0d;Aktivitetssted;32;693897,9998371173;6209574,003614174;1;1;Blandingsprøve;0,5166666666666667;"0,2; 0,45; 0,9";1;Total;;1039;Chlorophyl (ukorrigeret); =;5,3;µg/l;0,3;;3
Station;49000042;ARRESØ, kemi;FRB1690;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;19-10-1977;1;Vandkemi, Sø;Nej;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/b2c768df-b44c-4a5f-a0fb-5c56b92404b1;Aktivitetssted;32;693897,9998371173;6209574,003614174;1;1;Enkeltprøve;0;0;1;Total;;261;Phosphor, total-P; =;0,74;mg/l;9999999;;2
Station;49000042;ARRESØ, kemi;FRB1690;32;693898;6209574;Halsnæs;Region Hovedstaden;Sø;Arresø;20-07-1999;1;Vandkemi, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/e29150c5-9c7c-421a-841e-ccdaf3b3bb84;Aktivitetssted;32;693897,9998371173;6209574,003614174;1;1;Blandingsprøve;0,3666666666666667;"0,2; 0,3; 0,6";1;Opløst - filtrat fra filtrering;;241;Ammoniak+ammonium-N;<;0,01;mg/l;9999999;;2
