﻿Stedtype;StedID;Stedtekst;GeoZone;x-koordinat;y-koordinat;Kommune;Region;Type;Medie;Vandområde;Dataejer;Ansvarlig Myndighed;Link;Dato;Måling nr;Undersøgelsestype;Målested type;Målested navn;Målested GeoZone;Målested, x-koordinat;Målested, y-koordinat;Prøvetype;Status;Analysefraktion;CASnr;ScKode;Stofparameter;Resultat-attribut;Resultat;Enhed;Kvantifikationsgrænse;Detektionsgrænse;Kvalitetsmærke
Renseanlæg;E2E97135-BC29-46BE-BDDE-964EA4E0FADF;Helsinge;32;699118,0000002016;6211852,999989004;Gribskov;Region Hovedstaden;Renseanlæg;Renseanlæg;Ammendrup Å;GRIBVAND A/S;Gribskov kommune;https://puls.miljoeportal.dk/wwtps/e2e97135-bc29-46be-bdde-964ea4e0fadf/examination-details/488537ff-87ec-460c-af0f-e603b3358f0d;14-09-2014;1048463998;;Indløb;Helsinge Tilløb;32;699118,0000002016;6211852,999989004;Mængdeproportional prøve;Godkendt;Total;;183;Kemisk iltforbrug;;770;mg/l;;5;2
Renseanlæg;E2E97135-BC29-46BE-BDDE-964EA4E0FADF;Helsinge;32;699118,0000002016;6211852,999989004;Gribskov;Region Hovedstaden;Renseanlæg;Renseanlæg;Ammendrup Å;GRIBVAND A/S;Gribskov kommune;https://puls.miljoeportal.dk/wwtps/e2e97135-bc29-46be-bdde-964ea4e0fadf/examination-details/ba7f942a-7f11-4ee2-810a-f4d1f693f0e6;21-01-2024;651533698;;Indløb;Helsinge Tilløb;32;699118,0000002016;6211852,999989004;Ikke oplyst;Godkendt;Total;;176;BI5 modificeret ;;91;mg/l;;0,5;2
Renseanlæg;E2E97135-BC29-46BE-BDDE-964EA4E0FADF;Helsinge;32;699118,0000002016;6211852,999989004;Gribskov;Region Hovedstaden;Renseanlæg;Renseanlæg;Ammendrup Å;GRIBVAND A/S;Gribskov kommune;https://puls.miljoeportal.dk/wwtps/e2e97135-bc29-46be-bdde-964ea4e0fadf/examination-details/d05d42b8-548f-43cd-bc21-b5f1c1b17336;08-12-2020;765791893;;Udløb;Helsinge Afløb;32;699078,0000002024;6211742,999989019;Ikke oplyst;Godkendt;Total;;183;Kemisk iltforbrug;;22;mg/l;;5;2
Renseanlæg;E2E97135-BC29-46BE-BDDE-964EA4E0FADF;Helsinge;32;699118,0000002016;6211852,999989004;Gribskov;Region Hovedstaden;Renseanlæg;Renseanlæg;Ammendrup Å;GRIBVAND A/S;Gribskov kommune;https://puls.miljoeportal.dk/wwtps/e2e97135-bc29-46be-bdde-964ea4e0fadf/examination-details/da9bd002-a305-4234-81b7-eefd14e44ee5;26-06-2012;1349931023;;Indløb;Helsinge Tilløb;32;699118,0000002016;6211852,999989004;Ikke oplyst;Godkendt;Ej oplyst;;32;Suspenderede stoffer;;150;mg/l;;-1;2
Renseanlæg;E2E97135-BC29-46BE-BDDE-964EA4E0FADF;Helsinge;32;699118,0000002016;6211852,999989004;Gribskov;Region Hovedstaden;Renseanlæg;Renseanlæg;Ammendrup Å;GRIBVAND A/S;Gribskov kommune;https://puls.miljoeportal.dk/wwtps/e2e97135-bc29-46be-bdde-964ea4e0fadf/examination-details/1d7aa0e1-6332-4a4b-97bd-2cb55c326123;18-05-2009;2026812366;;Udløb;Helsinge Afløb;32;699078,0000002024;6211742,999989019;Ikke oplyst;Godkendt;Ej oplyst;;176;BI5 modificeret ;<;1;mg/l;;-1;2
Renseanlæg;E2E97135-BC29-46BE-BDDE-964EA4E0FADF;Helsinge;32;699118,0000002016;6211852,999989004;Gribskov;Region Hovedstaden;Renseanlæg;Renseanlæg;Ammendrup Å;GRIBVAND A/S;Gribskov kommune;https://puls.miljoeportal.dk/wwtps/e2e97135-bc29-46be-bdde-964ea4e0fadf/examination-details/66c85ac5-07dc-47cd-a310-a6fd18c0d98f;11-06-2019;746030734;;Udløb;Helsinge Afløb;32;699078,0000002024;6211742,999989019;Ikke oplyst;Godkendt;Total;;7;Bundfald eft. 2 tim.;;0,1;ml/l;;0,1;2
Renseanlæg;E2E97135-BC29-46BE-BDDE-964EA4E0FADF;Helsinge;32;699118,0000002016;6211852,999989004;Gribskov;Region Hovedstaden;Renseanlæg;Renseanlæg;Ammendrup Å;GRIBVAND A/S;Gribskov kommune;https://puls.miljoeportal.dk/wwtps/e2e97135-bc29-46be-bdde-964ea4e0fadf/examination-details/6bbc8f75-8e46-4630-b0f1-31457a07126e;02-05-2013;654134020;;Indløb;Helsinge Tilløb;32;699118,0000002016;6211852,999989004;Mængdeproportional prøve;Godkendt;Total;;261;Phosphor, total-P;;6,58;mg/l;;0,003;2
Renseanlæg;E2E97135-BC29-46BE-BDDE-964EA4E0FADF;Helsinge;32;699118,0000002016;6211852,999989004;Gribskov;Region Hovedstaden;Renseanlæg;Renseanlæg;Ammendrup Å;GRIBVAND A/S;Gribskov kommune;https://puls.miljoeportal.dk/wwtps/e2e97135-bc29-46be-bdde-964ea4e0fadf/examination-details/fa02eb84-c179-4e97-ba1f-64ef9d83c988;16-01-2017;310052645;;Indløb;Helsinge Tilløb;32;699118,0000002016;6211852,999989004;Mængdeproportional prøve;Godkendt;Total;;253;Nitrogen, total N;;52;mg/l;;0,5;2
Renseanlæg;E2E97135-BC29-46BE-BDDE-964EA4E0FADF;Helsinge;32;699118,0000002016;6211852,999989004;Gribskov;Region Hovedstaden;Renseanlæg;Renseanlæg;Ammendrup Å;GRIBVAND A/S;Gribskov kommune;https://puls.miljoeportal.dk/wwtps/e2e97135-bc29-46be-bdde-964ea4e0fadf/examination-details/09da6dc4-c887-489b-9e94-635719c15211;03-10-2000;1388832204;;Indløb;Helsinge Tilløb;32;699118,0000002016;6211852,999989004;Mængdeproportional prøve;Godkendt;Total;;261;Phosphor, total-P;;8,4;mg/l;;-1;2
Renseanlæg;E2E97135-BC29-46BE-BDDE-964EA4E0FADF;Helsinge;32;699118,0000002016;6211852,999989004;Gribskov;Region Hovedstaden;Renseanlæg;Renseanlæg;Ammendrup Å;GRIBVAND A/S;Gribskov kommune;https://puls.miljoeportal.dk/wwtps/e2e97135-bc29-46be-bdde-964ea4e0fadf/examination-details/a46235b2-0420-4eee-a1d8-6ad3d1b1546f;20-03-1996;570904960;;Udløb;Helsinge Afløb;32;699078,0000002024;6211742,999989019;Mængdeproportional prøve;Godkendt;Ej oplyst;;7;Bundfald eft. 2 tim.;<;0,1;ml/l;;-1;2
