Vandportalen - www.vandportalen.dk
Lokalitet:;490081 Arrenakke å, sv for Skovbjerggård
Tidsserie:;Vandføring
Drives af WSP
Dataperiode:;01-01-1917 00:00 - 06-11-2024 00:59 ( UTC +01:00:00 )
ks mrk.:;0= ikke-korrigerede data (rådata)
;1= data udtyndet for outliers
;2= kvalitetskontrolleret data
Udtræksdato: ;29-10-2024 12:38

WSP og dataleverandører til Vandportalen kan ikke drages til ansvar for målingernes rigtighed.

Dato (DK normaltid);Vandføring (l/s);ks mrk.
01-02-2024 13:00;99.314;0
01-02-2024 13:30;29.372;0
01-02-2024 13:45;2.859;0
01-02-2024 14:00;18.336;0
01-02-2024 14:15;22.220;0
01-02-2024 14:30;33.533;0
01-02-2024 14:45;32.101;0
01-02-2024 15:00;12.409;0
01-02-2024 15:15;3.731;0
01-02-2024 15:30;14.241;0
01-02-2024 15:45;14.029;0
01-02-2024 16:00;30.779;0
01-02-2024 16:15;8.106;0
01-02-2024 16:30;12.354;0
01-02-2024 16:45;36.378;0
01-02-2024 17:00;40.679;0
01-02-2024 17:15;40.680;0
01-02-2024 17:30;39.974;0
01-02-2024 17:45;40.578;0
01-02-2024 18:00;41.245;0
01-02-2024 18:15;39.586;0
01-02-2024 18:30;41.041;0
01-02-2024 18:45;40.573;0
01-02-2024 19:00;39.893;0
01-02-2024 19:15;40.504;0
01-02-2024 19:30;39.260;0
01-02-2024 19:45;39.482;0
01-02-2024 20:00;40.164;0
01-02-2024 20:15;39.056;0
01-02-2024 20:30;39.307;0
01-02-2024 20:45;39.249;0
01-02-2024 21:00;39.136;0
01-02-2024 21:15;38.166;0
01-02-2024 21:30;38.936;0
01-02-2024 21:45;39.646;0
01-02-2024 22:00;39.338;0
01-02-2024 22:15;37.893;0
01-02-2024 22:30;38.640;0
01-02-2024 22:45;38.568;0
01-02-2024 23:00;37.660;0
01-02-2024 23:15;37.684;0
01-02-2024 23:30;38.575;0
01-02-2024 23:45;38.518;0
02-02-2024 00:00;38.872;0
02-02-2024 00:15;38.975;0
02-02-2024 00:30;38.644;0
02-02-2024 00:45;37.941;0
02-02-2024 01:00;38.453;0
02-02-2024 01:15;39.028;0
02-02-2024 01:30;37.914;0
02-02-2024 01:45;37.959;0
02-02-2024 02:00;38.223;0
02-02-2024 02:15;38.465;0
02-02-2024 02:30;38.093;0
02-02-2024 02:45;38.391;0
02-02-2024 03:00;38.471;0
02-02-2024 03:15;38.046;0
02-02-2024 03:30;38.431;0
02-02-2024 03:45;39.418;0
02-02-2024 04:00;38.261;0
02-02-2024 04:15;38.959;0
02-02-2024 04:30;39.128;0
02-02-2024 04:45;37.479;0
02-02-2024 05:00;38.601;0
02-02-2024 05:15;38.533;0
02-02-2024 05:30;38.275;0
02-02-2024 05:45;38.588;0
02-02-2024 06:00;38.435;0
02-02-2024 06:15;37.590;0
02-02-2024 06:30;38.043;0
02-02-2024 06:45;40.101;0
02-02-2024 07:00;38.365;0
02-02-2024 07:15;37.253;0
02-02-2024 07:30;36.779;0
02-02-2024 07:45;37.252;0
02-02-2024 08:00;38.677;0
02-02-2024 08:15;38.573;0
02-02-2024 08:30;38.083;0
02-02-2024 08:45;38.288;0
02-02-2024 09:00;39.553;0
02-02-2024 09:15;39.669;0
02-02-2024 09:30;40.031;0
02-02-2024 09:45;39.616;0
02-02-2024 10:00;38.990;0
02-02-2024 10:15;40.533;0
02-02-2024 10:30;41.598;0
02-02-2024 10:45;42.648;0
