Vandportalen - www.vandportalen.dk
Lokalitet:;490081 Arrenakke å, sv for Skovbjerggård
Tidsserie:;Vandstand
Drives af WSP
Dataperiode:;01-01-1917 00:00 - 06-11-2024 00:59 ( UTC +01:00:00 )
Vandstandsskala nulpunkt kote:;1.457 m DVR90
ks mrk.:;0= ikke-korrigerede data (rådata)
;1= data udtyndet for outliers
;2= kvalitetskontrolleret data
Udtræksdato: ;29-10-2024 12:38

WSP og dataleverandører til Vandportalen kan ikke drages til ansvar for målingernes rigtighed.

Dato (DK normaltid);Vandstand (m DVR90);ks mrk.
01-02-2024 13:00;2.207;0
01-02-2024 13:30;1.700;0
01-02-2024 13:45;1.700;0
01-02-2024 14:00;1.699;0
01-02-2024 14:15;1.700;0
01-02-2024 14:30;1.699;0
01-02-2024 14:45;1.697;0
01-02-2024 15:00;1.698;0
01-02-2024 15:15;1.695;0
01-02-2024 15:30;1.695;0
01-02-2024 15:45;1.694;0
01-02-2024 16:00;1.695;0
01-02-2024 16:15;1.697;0
01-02-2024 16:30;1.695;0
01-02-2024 16:45;1.695;0
01-02-2024 17:00;1.693;0
01-02-2024 17:15;1.691;0
01-02-2024 17:30;1.694;0
01-02-2024 17:45;1.693;0
01-02-2024 18:00;1.692;0
01-02-2024 18:15;1.691;0
01-02-2024 18:30;1.692;0
01-02-2024 18:45;1.691;0
01-02-2024 19:00;1.692;0
01-02-2024 19:15;1.692;0
01-02-2024 19:30;1.690;0
01-02-2024 19:45;1.693;0
01-02-2024 20:00;1.691;0
01-02-2024 20:15;1.691;0
01-02-2024 20:30;1.692;0
01-02-2024 20:45;1.691;0
01-02-2024 21:00;1.690;0
01-02-2024 21:15;1.690;0
01-02-2024 21:30;1.690;0
01-02-2024 21:45;1.691;0
01-02-2024 22:00;1.693;0
01-02-2024 22:15;1.688;0
01-02-2024 22:30;1.691;0
01-02-2024 22:45;1.691;0
01-02-2024 23:00;1.690;0
01-02-2024 23:15;1.689;0
01-02-2024 23:30;1.690;0
01-02-2024 23:45;1.689;0
02-02-2024 00:00;1.690;0
02-02-2024 00:15;1.686;0
02-02-2024 00:30;1.687;0
02-02-2024 00:45;1.689;0
02-02-2024 01:00;1.689;0
02-02-2024 01:15;1.690;0
02-02-2024 01:30;1.688;0
02-02-2024 01:45;1.689;0
02-02-2024 02:00;1.691;0
02-02-2024 02:15;1.689;0
02-02-2024 02:30;1.692;0
02-02-2024 02:45;1.688;0
02-02-2024 03:00;1.688;0
02-02-2024 03:15;1.690;0
02-02-2024 03:30;1.689;0
02-02-2024 03:45;1.691;0
02-02-2024 04:00;1.691;0
02-02-2024 04:15;1.690;0
02-02-2024 04:30;1.690;0
02-02-2024 04:45;1.688;0
02-02-2024 05:00;1.689;0
02-02-2024 05:15;1.687;0
02-02-2024 05:30;1.687;0
02-02-2024 05:45;1.688;0
02-02-2024 06:00;1.685;0
02-02-2024 06:15;1.687;0
02-02-2024 06:30;1.687;0
02-02-2024 06:45;1.690;0
02-02-2024 07:00;1.685;0
02-02-2024 07:15;1.681;0
02-02-2024 07:30;1.680;0
02-02-2024 07:45;1.685;0
02-02-2024 08:00;1.687;0
02-02-2024 08:15;1.688;0
02-02-2024 08:30;1.685;0
02-02-2024 08:45;1.689;0
02-02-2024 09:00;1.696;0
02-02-2024 09:15;1.696;0
02-02-2024 09:30;1.697;0
02-02-2024 09:45;1.699;0
02-02-2024 10:00;1.694;0
02-02-2024 10:15;1.697;0
02-02-2024 10:30;1.699;0
02-02-2024 10:45;1.698;0
02-02-2024 11:00;1.698;0
02-02-2024 11:15;1.699;0
02-02-2024 11:30;1.702;0
02-02-2024 11:45;1.697;0
02-02-2024 12:00;1.699;0
02-02-2024 12:15;1.699;0
02-02-2024 12:30;1.700;0
02-02-2024 12:45;1.701;0
02-02-2024 13:00;1.701;0
02-02-2024 13:15;1.698;0
02-02-2024 13:30;1.697;0
02-02-2024 13:45;1.699;0
02-02-2024 14:00;1.698;0
02-02-2024 14:15;1.697;0
02-02-2024 14:30;1.702;0
02-02-2024 14:45;1.696;0
02-02-2024 15:00;1.696;0
02-02-2024 15:15;1.697;0
02-02-2024 15:30;1.697;0
02-02-2024 15:45;1.697;0
02-02-2024 16:00;1.699;0
02-02-2024 16:15;1.701;0
02-02-2024 16:30;1.701;0
02-02-2024 16:45;1.701;0
02-02-2024 17:00;1.698;0
02-02-2024 17:15;1.698;0
02-02-2024 17:30;1.699;0
02-02-2024 17:45;1.699;0
02-02-2024 18:00;1.704;0
02-02-2024 18:15;1.700;0
02-02-2024 18:30;1.700;0
02-02-2024 18:45;1.700;0
02-02-2024 19:00;1.701;0
02-02-2024 19:15;1.702;0
02-02-2024 19:30;1.701;0
02-02-2024 19:45;1.701;0
02-02-2024 20:00;1.702;0
02-02-2024 20:15;1.700;0
02-02-2024 20:30;1.700;0
02-02-2024 20:45;1.699;0
02-02-2024 21:00;1.699;0
02-02-2024 21:15;1.699;0
02-02-2024 21:30;1.698;0
02-02-2024 21:45;1.697;0
02-02-2024 22:00;1.696;0
02-02-2024 22:15;1.701;0
02-02-2024 22:30;1.699;0
02-02-2024 22:45;1.695;0
02-02-2024 23:00;1.701;0
02-02-2024 23:15;1.698;0
02-02-2024 23:30;1.698;0
02-02-2024 23:45;1.695;0
03-02-2024 00:00;1.699;0
03-02-2024 00:15;1.699;0
03-02-2024 00:30;1.697;0
03-02-2024 00:45;1.696;0
03-02-2024 01:00;1.693;0
03-02-2024 01:15;1.697;0
03-02-2024 01:30;1.695;0
03-02-2024 01:45;1.697;0
03-02-2024 02:00;1.697;0
03-02-2024 02:15;1.697;0
03-02-2024 02:30;1.697;0
03-02-2024 02:45;1.696;0
03-02-2024 03:00;1.695;0
03-02-2024 03:15;1.694;0
03-02-2024 03:30;1.696;0
03-02-2024 03:45;1.692;0
03-02-2024 04:00;1.692;0
03-02-2024 04:15;1.694;0
03-02-2024 04:30;1.695;0
03-02-2024 05:00;1.694;0
03-02-2024 05:15;1.695;0
03-02-2024 05:30;1.697;0
03-02-2024 05:45;1.694;0
03-02-2024 06:00;1.693;0
03-02-2024 06:30;1.693;0
03-02-2024 06:45;1.695;0
03-02-2024 07:00;1.693;0
03-02-2024 07:15;1.692;0
03-02-2024 07:30;1.695;0
03-02-2024 07:45;1.692;0
03-02-2024 08:00;1.695;0
03-02-2024 08:15;1.692;0
03-02-2024 08:30;1.691;0
03-02-2024 08:45;1.692;0
03-02-2024 09:00;1.691;0
03-02-2024 09:30;1.693;0
03-02-2024 09:45;1.693;0
03-02-2024 10:00;1.693;0
03-02-2024 10:15;1.690;0
03-02-2024 10:30;1.692;0
03-02-2024 10:45;1.691;0
03-02-2024 11:15;1.691;0
03-02-2024 11:30;1.688;0
03-02-2024 11:45;1.690;0
03-02-2024 12:00;1.688;0
03-02-2024 12:15;1.688;0
03-02-2024 12:30;1.690;0
03-02-2024 12:45;1.690;0
03-02-2024 13:00;1.690;0
03-02-2024 13:15;1.688;0
03-02-2024 13:30;1.689;0
03-02-2024 13:45;1.688;0
03-02-2024 14:00;1.691;0
03-02-2024 14:15;1.690;0
03-02-2024 14:30;1.686;0
03-02-2024 14:45;1.686;0
03-02-2024 15:00;1.692;0
03-02-2024 15:15;1.686;0
03-02-2024 15:30;1.688;0
03-02-2024 15:45;1.688;0
03-02-2024 16:00;1.688;0
03-02-2024 16:15;1.684;0
03-02-2024 16:30;1.688;0
03-02-2024 16:45;1.688;0
03-02-2024 17:00;1.686;0
03-02-2024 17:15;1.689;0
03-02-2024 17:30;1.688;0
03-02-2024 17:45;1.686;0
03-02-2024 18:00;1.686;0
03-02-2024 18:15;1.684;0
03-02-2024 18:30;1.686;0
03-02-2024 18:45;1.687;0
03-02-2024 19:00;1.684;0
03-02-2024 19:15;1.688;0
03-02-2024 19:30;1.687;0
03-02-2024 19:45;1.684;0
03-02-2024 20:00;1.685;0
03-02-2024 20:15;1.686;0
03-02-2024 20:30;1.684;0
03-02-2024 20:45;1.684;0
03-02-2024 21:00;1.684;0
03-02-2024 21:15;1.686;0
03-02-2024 21:30;1.686;0
03-02-2024 21:45;1.685;0
03-02-2024 22:00;1.684;0
03-02-2024 22:15;1.685;0
03-02-2024 22:30;1.682;0
03-02-2024 22:45;1.683;0
03-02-2024 23:00;1.686;0
03-02-2024 23:15;1.686;0
03-02-2024 23:30;1.685;0
03-02-2024 23:45;1.685;0
04-02-2024 00:00;1.686;0
04-02-2024 00:15;1.685;0
04-02-2024 00:30;1.683;0
04-02-2024 00:45;1.685;0
04-02-2024 01:00;1.681;0
04-02-2024 01:15;1.686;0
04-02-2024 01:30;1.685;0
04-02-2024 01:45;1.683;0
04-02-2024 02:00;1.687;0
04-02-2024 02:15;1.686;0
04-02-2024 02:30;1.680;0
04-02-2024 02:45;1.683;0
04-02-2024 03:00;1.685;0
04-02-2024 03:15;1.682;0
04-02-2024 03:30;1.683;0
04-02-2024 03:45;1.681;0
04-02-2024 04:00;1.683;0
04-02-2024 04:15;1.681;0
04-02-2024 04:30;1.684;0
04-02-2024 04:45;1.683;0
04-02-2024 05:00;1.684;0
04-02-2024 05:15;1.684;0
04-02-2024 05:30;1.684;0
04-02-2024 05:45;1.682;0
04-02-2024 06:00;1.684;0
04-02-2024 06:15;1.685;0
04-02-2024 06:30;1.683;0
04-02-2024 06:45;1.681;0
04-02-2024 07:00;1.685;0
04-02-2024 07:15;1.683;0
04-02-2024 07:30;1.682;0
04-02-2024 07:45;1.684;0
04-02-2024 08:00;1.685;0
04-02-2024 08:15;1.681;0
04-02-2024 08:30;1.683;0
04-02-2024 08:45;1.681;0
04-02-2024 09:00;1.681;0
04-02-2024 09:15;1.680;0
04-02-2024 09:30;1.683;0
04-02-2024 09:45;1.682;0
04-02-2024 10:00;1.684;0
04-02-2024 10:15;1.682;0
04-02-2024 10:30;1.682;0
04-02-2024 10:45;1.681;0
04-02-2024 11:00;1.685;0
04-02-2024 11:15;1.682;0
04-02-2024 11:30;1.684;0
04-02-2024 11:45;1.685;0
04-02-2024 12:00;1.682;0
04-02-2024 12:15;1.683;0
04-02-2024 12:30;1.686;0
04-02-2024 12:45;1.682;0
04-02-2024 13:00;1.682;0
04-02-2024 13:15;1.684;0
04-02-2024 13:30;1.685;0
04-02-2024 13:45;1.682;0
04-02-2024 14:00;1.685;0
04-02-2024 14:15;1.685;0
04-02-2024 14:30;1.680;0
04-02-2024 14:45;1.680;0
04-02-2024 15:00;1.681;0
04-02-2024 15:15;1.680;0
04-02-2024 15:30;1.678;0
04-02-2024 15:45;1.680;0
04-02-2024 16:00;1.679;0
