Vandportalen - www.vandportalen.dk
Lokalitet:;490081 Arrenakke å, sv for Skovbjerggård
Tidsserie:;Vandtemperatur
Drives af WSP
Dataperiode:;01-01-1917 00:00 - 06-11-2024 00:59 ( UTC +01:00:00 )
ks mrk.:;0= ikke-korrigerede data (rådata)
;1= data udtyndet for outliers
;2= kvalitetskontrolleret data
Udtræksdato: ;29-10-2024 12:38

WSP og dataleverandører til Vandportalen kan ikke drages til ansvar for målingernes rigtighed.

Dato (DK normaltid);Vandtemperatur (C);ks mrk.
01-02-2024 13:00;5.967;0
01-02-2024 13:15;5.967;0
01-02-2024 13:30;6.134;0
01-02-2024 13:45;6.146;0
01-02-2024 14:00;6.203;0
01-02-2024 14:15;6.238;0
01-02-2024 14:30;6.228;0
01-02-2024 14:45;6.213;0
01-02-2024 15:00;6.196;0
01-02-2024 15:15;6.172;0
01-02-2024 15:30;6.140;0
01-02-2024 15:45;6.103;0
01-02-2024 16:00;6.053;0
01-02-2024 16:15;5.999;0
01-02-2024 16:30;5.942;0
01-02-2024 16:45;5.880;0
01-02-2024 17:00;5.827;0
01-02-2024 17:15;5.774;0
01-02-2024 17:30;5.726;0
01-02-2024 17:45;5.679;0
01-02-2024 18:00;5.637;0
01-02-2024 18:15;5.591;0
01-02-2024 18:30;5.549;0
01-02-2024 18:45;5.515;0
01-02-2024 19:00;5.482;0
01-02-2024 19:15;5.442;0
01-02-2024 19:30;5.419;0
01-02-2024 19:45;5.397;0
01-02-2024 20:00;5.374;0
01-02-2024 20:15;5.356;0
01-02-2024 20:30;5.340;0
01-02-2024 20:45;5.322;0
01-02-2024 21:00;5.306;0
01-02-2024 21:15;5.294;0
01-02-2024 21:30;5.280;0
01-02-2024 21:45;5.266;0
01-02-2024 22:00;5.251;0
01-02-2024 22:15;5.242;0
01-02-2024 22:30;5.230;0
01-02-2024 22:45;5.221;0
01-02-2024 23:00;5.215;0
01-02-2024 23:15;5.206;0
01-02-2024 23:30;5.200;0
01-02-2024 23:45;5.194;0
02-02-2024 00:00;5.189;0
02-02-2024 00:15;5.187;0
02-02-2024 00:30;5.193;0
02-02-2024 00:45;5.196;0
02-02-2024 01:00;5.204;0
02-02-2024 01:15;5.220;0
02-02-2024 01:30;5.238;0
02-02-2024 01:45;5.258;0
02-02-2024 02:00;5.277;0
02-02-2024 02:15;5.300;0
02-02-2024 02:30;5.323;0
02-02-2024 02:45;5.347;0
02-02-2024 03:00;5.373;0
02-02-2024 03:15;5.400;0
02-02-2024 03:30;5.427;0
02-02-2024 03:45;5.457;0
02-02-2024 04:00;5.487;0
02-02-2024 04:15;5.518;0
02-02-2024 04:30;5.544;0
02-02-2024 04:45;5.572;0
02-02-2024 05:00;5.599;0
02-02-2024 05:15;5.622;0
02-02-2024 05:30;5.655;0
02-02-2024 05:45;5.692;0
02-02-2024 06:00;5.721;0
02-02-2024 06:15;5.753;0
02-02-2024 06:30;5.778;0
02-02-2024 06:45;5.804;0
02-02-2024 07:00;5.825;0
02-02-2024 07:15;5.854;0
02-02-2024 07:30;5.879;0
02-02-2024 07:45;5.910;0
02-02-2024 08:00;5.933;0
