Vandportalen - www.vandportalen.dk
Lokalitet:;49.26 Arresø kanal, v. bro 230m ns sluse
Tidsserie:;Vandføring
Drives af MST, Sjælland
Dataperiode:;01-01-1917 00:00 - 07-11-2024 00:59 ( UTC +01:00:00 )
ks mrk.:;0= ikke-korrigerede data (rådata)
;1= data udtyndet for outliers
;2= kvalitetskontrolleret data
Udtræksdato: ;29-10-2024 12:39

WSP og dataleverandører til Vandportalen kan ikke drages til ansvar for målingernes rigtighed.

Dato (DK normaltid);Vandføring (l/s);ks mrk.
01-01-2020 00:00;1709.573;0
01-01-2020 00:15;1681.031;0
01-01-2020 00:30;1568.318;0
01-01-2020 00:45;1689.739;0
01-01-2020 01:00;1681.031;0
01-01-2020 01:15;1587.668;0
01-01-2020 01:30;1577.992;0
01-01-2020 01:45;0.000;0
01-01-2020 02:00;1582.830;0
01-01-2020 02:15;1705.219;0
01-01-2020 02:30;1574.606;0
01-01-2020 02:45;1577.509;0
01-01-2020 03:00;1648.620;0
01-01-2020 03:15;1765.204;0
01-01-2020 03:30;1631.205;0
01-01-2020 03:45;1607.501;0
01-01-2020 04:00;1620.562;0
01-01-2020 04:15;1511.719;0
01-01-2020 04:30;1643.299;0
01-01-2020 04:45;1688.288;0
01-01-2020 05:00;1631.205;0
01-01-2020 05:15;1714.410;0
01-01-2020 05:30;1598.310;0
01-01-2020 05:45;1663.133;0
01-01-2020 06:00;1653.458;0
01-01-2020 06:15;1671.356;0
01-01-2020 06:30;1677.161;0
01-01-2020 06:45;1567.350;0
01-01-2020 07:00;1616.209;0
01-01-2020 07:15;1671.840;0
01-01-2020 07:30;1600.729;0
01-01-2020 07:45;1499.141;0
01-01-2020 08:00;1644.266;0
01-01-2020 08:15;1588.151;0
01-01-2020 08:30;1584.281;0
01-01-2020 08:45;1677.645;0
01-01-2020 09:00;1656.360;0
01-01-2020 09:15;1587.668;0
01-01-2020 09:30;1663.616;0
01-01-2020 09:45;1614.758;0
01-01-2020 10:00;1636.526;0
01-01-2020 10:15;1695.060;0
01-01-2020 10:30;1719.731;0
01-01-2020 10:45;1703.768;0
01-01-2020 11:00;1575.090;0
01-01-2020 11:15;1530.101;0
01-01-2020 11:30;1556.707;0
01-01-2020 11:45;1613.306;0
01-01-2020 12:00;1629.754;0
01-01-2020 12:15;1540.260;0
01-01-2020 12:30;1568.318;0
01-01-2020 12:45;1696.511;0
01-01-2020 13:00;1640.396;0
01-01-2020 13:15;1600.245;0
01-01-2020 13:30;1605.083;0
01-01-2020 13:45;1668.454;0
01-01-2020 14:00;1664.100;0
01-01-2020 14:15;1639.913;0
01-01-2020 14:30;1641.848;0
01-01-2020 14:45;1679.580;0
01-01-2020 15:00;1629.754;0
01-01-2020 15:15;1524.780;0
01-01-2020 15:30;1601.696;0
01-01-2020 15:45;1649.104;0
01-01-2020 16:00;1597.826;0
01-01-2020 16:15;1638.945;0
01-01-2020 16:30;1690.222;0
01-01-2020 16:45;1708.605;0
01-01-2020 17:00;1631.689;0
01-01-2020 17:15;1651.523;0
01-01-2020 17:30;1577.509;0
01-01-2020 17:45;1646.201;0
01-01-2020 18:00;1678.129;0
01-01-2020 18:15;1628.786;0
01-01-2020 18:30;1577.993;0
01-01-2020 18:45;1558.643;0
01-01-2020 19:00;1669.905;0
01-01-2020 19:15;1703.768;0
01-01-2020 19:30;1664.100;0
01-01-2020 19:45;1608.952;0
01-01-2020 20:00;1657.811;0
01-01-2020 20:15;1586.700;0
01-01-2020 20:30;1716.345;0
01-01-2020 20:45;1710.540;0
01-01-2020 21:00;1678.612;0
01-01-2020 21:15;1613.306;0
01-01-2020 21:30;1568.801;0
01-01-2020 21:45;1619.595;0
01-01-2020 22:00;1578.960;0
01-01-2020 22:15;1642.815;0
01-01-2020 22:30;1606.050;0
01-01-2020 22:45;1688.287;0
01-01-2020 23:00;1700.865;0
01-01-2020 23:15;1750.207;0
01-01-2020 23:30;1636.526;0
01-01-2020 23:45;1660.230;0
02-01-2020 00:00;1550.903;0
02-01-2020 00:15;1588.635;0
02-01-2020 00:30;1688.771;0
02-01-2020 00:45;1660.230;0
02-01-2020 01:00;1575.574;0
02-01-2020 01:15;1577.992;0
02-01-2020 01:30;1618.628;0
02-01-2020 01:45;1700.381;0
02-01-2020 02:00;1664.584;0
02-01-2020 02:15;1561.061;0
02-01-2020 02:30;1666.519;0
02-01-2020 02:45;1689.739;0
02-01-2020 03:00;1583.798;0
02-01-2020 03:15;1635.559;0
02-01-2020 03:30;1611.371;0
02-01-2020 03:45;1661.197;0
02-01-2020 04:00;1566.383;0
02-01-2020 04:15;1655.876;0
02-01-2020 04:30;1552.838;0
02-01-2020 04:45;1657.811;0
02-01-2020 05:00;1562.029;0
02-01-2020 05:15;1579.928;0
02-01-2020 05:30;1621.530;0
02-01-2020 05:45;1650.555;0
02-01-2020 06:00;1584.765;0
02-01-2020 06:15;1654.425;0
02-01-2020 06:30;1565.415;0
02-01-2020 06:45;1616.692;0
02-01-2020 07:00;1718.764;0
02-01-2020 07:15;1665.551;0
02-01-2020 07:30;1709.573;0
02-01-2020 07:45;1563.964;0
02-01-2020 08:00;1660.714;0
02-01-2020 08:15;1603.148;0
02-01-2020 08:30;1696.995;0
02-01-2020 08:45;1628.786;0
02-01-2020 09:00;1678.129;0
02-01-2020 09:15;1620.562;0
02-01-2020 09:30;1651.039;0
02-01-2020 09:45;1626.851;0
02-01-2020 10:00;1656.360;0
02-01-2020 10:15;1527.682;0
02-01-2020 10:30;1550.903;0
02-01-2020 10:45;1545.097;0
02-01-2020 11:00;1461.409;0
02-01-2020 11:15;1572.671;0
02-01-2020 11:30;1480.275;0
02-01-2020 11:45;1508.816;0
02-01-2020 12:00;1471.568;0
02-01-2020 12:15;1501.076;0
02-01-2020 12:30;1580.411;0
02-01-2020 12:45;1502.044;0
02-01-2020 13:00;1406.261;0
02-01-2020 13:15;1428.514;0
02-01-2020 13:30;1468.665;0
02-01-2020 13:45;1439.156;0
02-01-2020 14:00;1507.849;0
02-01-2020 14:15;1377.720;0
02-01-2020 14:30;1449.799;0
02-01-2020 14:45;1546.549;0
02-01-2020 15:00;1508.333;0
02-01-2020 15:15;1471.084;0
02-01-2020 15:30;1601.212;0
02-01-2020 15:45;1597.826;0
02-01-2020 16:00;1396.102;0
02-01-2020 16:15;1399.972;0
02-01-2020 16:30;1384.492;0
02-01-2020 16:45;1545.097;0
02-01-2020 17:00;1526.231;0
02-01-2020 17:15;1461.892;0
02-01-2020 17:30;1428.030;0
02-01-2020 17:45;1342.406;0
02-01-2020 18:00;1534.455;0
02-01-2020 18:15;1549.451;0
02-01-2020 18:30;1512.686;0
02-01-2020 18:45;1487.531;0
02-01-2020 19:00;1474.470;0
02-01-2020 19:15;1469.149;0
02-01-2020 19:30;1524.296;0
02-01-2020 19:45;1503.011;0
02-01-2020 20:00;1485.113;0
02-01-2020 20:15;1562.029;0
02-01-2020 20:30;1486.080;0
02-01-2020 20:45;1472.051;0
02-01-2020 21:00;1546.549;0
02-01-2020 21:15;1518.975;0
02-01-2020 21:30;1514.621;0
02-01-2020 21:45;1505.914;0
02-01-2020 22:00;1534.455;0
02-01-2020 22:15;1471.084;0
02-01-2020 22:30;1452.701;0
02-01-2020 22:45;1566.866;0
02-01-2020 23:00;1525.264;0
02-01-2020 23:15;1349.663;0
02-01-2020 23:30;1573.639;0
02-01-2020 23:45;1488.499;0
03-01-2020 00:00;1368.529;0
03-01-2020 00:15;1464.795;0
03-01-2020 00:30;1505.430;0
03-01-2020 00:45;1457.055;0
03-01-2020 01:00;1531.553;0
03-01-2020 01:15;1456.571;0
03-01-2020 01:30;1470.116;0
03-01-2020 01:45;1446.896;0
03-01-2020 02:00;1503.495;0
03-01-2020 02:15;1552.838;0
03-01-2020 02:30;1540.260;0
03-01-2020 02:45;1437.221;0
03-01-2020 03:00;1481.243;0
03-01-2020 03:15;1481.726;0
03-01-2020 03:30;1452.701;0
03-01-2020 03:45;1447.380;0
03-01-2020 04:00;1441.091;0
03-01-2020 04:15;1422.709;0
03-01-2020 04:30;1456.571;0
03-01-2020 04:45;1449.315;0
