Vandportalen - www.vandportalen.dk
Lokalitet:;49.26 Arresø kanal, v. bro 230m ns sluse
Tidsserie:;Vandstand
Drives af MST, Sjælland
Dataperiode:;01-01-1917 00:00 - 07-11-2024 00:59 ( UTC +01:00:00 )
Vandstandsskala nulpunkt kote: ukendt
Vandstandsskala nulpunkt kote:;3.118 m (kotesys ukendt)
ks mrk.:;0= ikke-korrigerede data (rådata)
;1= data udtyndet for outliers
;2= kvalitetskontrolleret data
Udtræksdato: ;29-10-2024 12:39

WSP og dataleverandører til Vandportalen kan ikke drages til ansvar for målingernes rigtighed.

Dato (DK normaltid);Vandstand (m relativ);ks mrk.
01-01-2020 00:00;0.639;0
01-01-2020 00:15;0.630;0
01-01-2020 00:30;0.640;0
01-01-2020 00:45;0.650;0
01-01-2020 01:00;0.636;0
01-01-2020 01:15;0.634;0
01-01-2020 01:30;0.635;0
01-01-2020 01:45;0.632;0
01-01-2020 02:00;0.639;0
01-01-2020 02:15;0.642;0
01-01-2020 02:30;0.636;0
01-01-2020 02:45;0.637;0
01-01-2020 03:00;0.640;0
01-01-2020 03:15;0.638;0
01-01-2020 03:30;0.642;0
01-01-2020 03:45;0.643;0
01-01-2020 04:00;0.636;0
01-01-2020 04:15;0.634;0
01-01-2020 04:30;0.638;0
01-01-2020 04:45;0.635;0
01-01-2020 05:00;0.642;0
01-01-2020 05:15;0.641;0
01-01-2020 05:30;0.630;0
01-01-2020 05:45;0.634;0
01-01-2020 06:00;0.638;0
01-01-2020 06:15;0.633;0
01-01-2020 06:30;0.635;0
01-01-2020 06:45;0.629;0
01-01-2020 07:00;0.630;0
01-01-2020 07:15;0.643;0
01-01-2020 07:30;0.631;0
01-01-2020 07:45;0.635;0
01-01-2020 08:00;0.643;0
01-01-2020 08:15;0.629;0
01-01-2020 08:30;0.637;0
01-01-2020 08:45;0.634;0
01-01-2020 09:00;0.637;0
01-01-2020 09:15;0.642;0
01-01-2020 09:30;0.635;0
01-01-2020 09:45;0.636;0
01-01-2020 10:00;0.638;0
01-01-2020 10:15;0.635;0
01-01-2020 10:30;0.639;0
01-01-2020 10:45;0.635;0
01-01-2020 11:00;0.632;0
01-01-2020 11:15;0.633;0
01-01-2020 11:30;0.630;0
01-01-2020 11:45;0.634;0
01-01-2020 12:00;0.632;0
01-01-2020 12:15;0.630;0
01-01-2020 12:30;0.628;0
01-01-2020 12:45;0.630;0
01-01-2020 13:00;0.625;0
01-01-2020 13:15;0.634;0
01-01-2020 13:30;0.627;0
01-01-2020 13:45;0.624;0
01-01-2020 14:00;0.623;0
01-01-2020 14:15;0.629;0
01-01-2020 14:30;0.626;0
01-01-2020 14:45;0.633;0
01-01-2020 15:00;0.631;0
01-01-2020 15:15;0.631;0
01-01-2020 15:30;0.633;0
01-01-2020 15:45;0.635;0
01-01-2020 16:00;0.633;0
01-01-2020 16:15;0.642;0
01-01-2020 16:30;0.642;0
01-01-2020 16:45;0.641;0
01-01-2020 17:00;0.641;0
01-01-2020 17:15;0.635;0
01-01-2020 17:30;0.636;0
01-01-2020 17:45;0.641;0
01-01-2020 18:00;0.637;0
01-01-2020 18:15;0.639;0
01-01-2020 18:30;0.636;0
01-01-2020 18:45;0.635;0
01-01-2020 19:00;0.644;0
01-01-2020 19:15;0.640;0
01-01-2020 19:30;0.638;0
