Vandportalen - www.vandportalen.dk
Lokalitet:;49.26 Arresø kanal, v. bro 230m ns sluse
Tidsserie:;Vandtemperatur
Drives af MST, Sjælland
Dataperiode:;01-01-1917 00:00 - 07-11-2024 00:59 ( UTC +01:00:00 )
ks mrk.:;0= ikke-korrigerede data (rådata)
;1= data udtyndet for outliers
;2= kvalitetskontrolleret data
Udtræksdato: ;29-10-2024 12:39

WSP og dataleverandører til Vandportalen kan ikke drages til ansvar for målingernes rigtighed.

Dato (DK normaltid);Vandtemperatur (C);ks mrk.
01-01-2020 00:00;3.500;0
01-01-2020 00:15;3.500;0
01-01-2020 00:30;3.500;0
01-01-2020 00:45;3.500;0
01-01-2020 01:00;3.400;0
01-01-2020 01:15;3.400;0
01-01-2020 01:30;3.400;0
01-01-2020 01:45;3.400;0
01-01-2020 02:00;3.400;0
01-01-2020 02:15;3.400;0
01-01-2020 02:30;3.400;0
01-01-2020 02:45;3.400;0
01-01-2020 03:00;3.400;0
01-01-2020 03:15;3.400;0
01-01-2020 03:30;3.400;0
01-01-2020 03:45;3.400;0
01-01-2020 04:00;3.300;0
01-01-2020 04:15;3.300;0
01-01-2020 04:30;3.300;0
01-01-2020 04:45;3.300;0
01-01-2020 05:00;3.300;0
01-01-2020 05:15;3.300;0
01-01-2020 05:30;3.300;0
01-01-2020 05:45;3.300;0
01-01-2020 06:00;3.300;0
01-01-2020 06:15;3.300;0
01-01-2020 06:30;3.300;0
01-01-2020 06:45;3.300;0
01-01-2020 07:00;3.300;0
01-01-2020 07:15;3.300;0
01-01-2020 07:30;3.300;0
01-01-2020 07:45;3.300;0
01-01-2020 08:00;3.300;0
01-01-2020 08:15;3.300;0
01-01-2020 08:30;3.300;0
01-01-2020 08:45;3.300;0
01-01-2020 09:00;3.300;0
01-01-2020 09:15;3.300;0
01-01-2020 09:30;3.300;0
01-01-2020 09:45;3.300;0
01-01-2020 10:00;3.300;0
01-01-2020 10:15;3.300;0
01-01-2020 10:30;3.400;0
01-01-2020 10:45;3.400;0
01-01-2020 11:00;3.400;0
01-01-2020 11:15;3.400;0
01-01-2020 11:30;3.400;0
01-01-2020 11:45;3.400;0
01-01-2020 12:00;3.400;0
01-01-2020 12:15;3.500;0
01-01-2020 12:30;3.500;0
01-01-2020 12:45;3.500;0
01-01-2020 13:00;3.500;0
01-01-2020 13:15;3.500;0
01-01-2020 13:30;3.500;0
01-01-2020 13:45;3.500;0
01-01-2020 14:00;3.500;0
01-01-2020 14:15;3.500;0
01-01-2020 14:30;3.500;0
01-01-2020 14:45;3.500;0
01-01-2020 15:00;3.500;0
01-01-2020 15:15;3.600;0
01-01-2020 15:30;3.600;0
01-01-2020 15:45;3.600;0
01-01-2020 16:00;3.600;0
01-01-2020 16:15;3.600;0
01-01-2020 16:30;3.600;0
01-01-2020 16:45;3.600;0
01-01-2020 17:00;3.600;0
01-01-2020 17:15;3.600;0
01-01-2020 17:30;3.600;0
01-01-2020 17:45;3.600;0
01-01-2020 18:00;3.600;0
01-01-2020 18:15;3.600;0
01-01-2020 18:30;3.600;0
01-01-2020 18:45;3.600;0
01-01-2020 19:00;3.600;0
01-01-2020 19:15;3.600;0
01-01-2020 19:30;3.600;0
01-01-2020 19:45;3.600;0
01-01-2020 20:00;3.600;0
01-01-2020 20:15;3.600;0
01-01-2020 20:30;3.600;0
01-01-2020 20:45;3.600;0
01-01-2020 21:00;3.600;0
01-01-2020 21:15;3.600;0
01-01-2020 21:30;3.600;0
01-01-2020 21:45;3.600;0
01-01-2020 22:00;3.600;0
01-01-2020 22:15;3.600;0
01-01-2020 22:30;3.600;0
01-01-2020 22:45;3.600;0
01-01-2020 23:00;3.600;0
01-01-2020 23:15;3.500;0
01-01-2020 23:30;3.500;0
01-01-2020 23:45;3.500;0
02-01-2020 00:00;3.500;0
02-01-2020 00:15;3.500;0
02-01-2020 00:30;3.500;0
02-01-2020 00:45;3.500;0
02-01-2020 01:00;3.500;0
02-01-2020 01:15;3.500;0
02-01-2020 01:30;3.500;0
