Vandportalen - www.vandportalen.dk
Lokalitet:;49.31 Arresø, 
Tidsserie:;Vandstand
Drives af Halsnæs Kommune
Dataperiode:;01-01-1917 00:00 - 07-11-2024 00:59 ( UTC +01:00:00 )
Vandstandsskala nulpunkt kote:;0 m DVR90
ks mrk.:;0= ikke-korrigerede data (rådata)
;1= data udtyndet for outliers
;2= kvalitetskontrolleret data
Udtræksdato: ;29-10-2024 12:39

WSP og dataleverandører til Vandportalen kan ikke drages til ansvar for målingernes rigtighed.

Dato (DK normaltid);Vandstand (m DVR90);ks mrk.
21-11-2023 18:06;4.060;0
21-11-2023 18:11;4.060;0
21-11-2023 18:16;4.070;0
21-11-2023 18:21;4.060;0
21-11-2023 18:26;4.060;0
21-11-2023 18:31;4.060;0
21-11-2023 18:36;4.060;0
21-11-2023 18:41;4.050;0
21-11-2023 18:46;4.050;0
21-11-2023 18:51;4.060;0
21-11-2023 18:56;4.060;0
21-11-2023 19:01;4.060;0
21-11-2023 19:06;4.060;0
21-11-2023 19:11;4.060;0
21-11-2023 19:16;4.060;0
21-11-2023 19:21;4.060;0
21-11-2023 19:26;4.060;0
21-11-2023 19:31;4.060;0
21-11-2023 19:36;4.060;0
21-11-2023 19:41;4.060;0
21-11-2023 19:46;4.060;0
21-11-2023 19:51;4.060;0
21-11-2023 19:56;4.060;0
21-11-2023 20:01;4.060;0
21-11-2023 20:06;4.060;0
21-11-2023 20:11;4.060;0
21-11-2023 20:16;4.060;0
21-11-2023 20:21;4.060;0
21-11-2023 20:26;4.060;0
21-11-2023 20:31;4.060;0
21-11-2023 20:36;4.060;0
21-11-2023 20:41;4.060;0
21-11-2023 20:46;4.060;0
21-11-2023 20:51;4.060;0
21-11-2023 20:56;4.060;0
21-11-2023 21:01;4.060;0
21-11-2023 21:06;4.060;0
21-11-2023 21:11;4.060;0
21-11-2023 21:16;4.060;0
21-11-2023 21:21;4.060;0
21-11-2023 21:27;4.060;0
21-11-2023 21:32;4.060;0
21-11-2023 21:37;4.060;0
21-11-2023 21:42;4.060;0
21-11-2023 21:47;4.060;0
21-11-2023 21:52;4.060;0
21-11-2023 21:57;4.070;0
21-11-2023 22:02;4.060;0
21-11-2023 22:07;4.060;0
21-11-2023 22:12;4.060;0
21-11-2023 22:17;4.060;0
21-11-2023 22:22;4.060;0
21-11-2023 22:27;4.060;0
21-11-2023 22:32;4.060;0
21-11-2023 22:37;4.060;0
21-11-2023 22:42;4.060;0
21-11-2023 22:47;4.060;0
21-11-2023 22:52;4.060;0
21-11-2023 22:57;4.060;0
21-11-2023 23:02;4.060;0
21-11-2023 23:07;4.070;0
21-11-2023 23:12;4.070;0
21-11-2023 23:17;4.070;0
21-11-2023 23:22;4.060;0
21-11-2023 23:27;4.060;0
21-11-2023 23:32;4.060;0
21-11-2023 23:37;4.060;0
21-11-2023 23:42;4.060;0
21-11-2023 23:47;4.060;0
21-11-2023 23:52;4.060;0
21-11-2023 23:57;4.060;0
22-11-2023 00:02;4.060;0
22-11-2023 00:07;4.060;0
22-11-2023 00:12;4.060;0
22-11-2023 00:17;4.060;0
22-11-2023 00:22;4.060;0
22-11-2023 00:27;4.060;0
22-11-2023 00:32;4.060;0
22-11-2023 00:37;4.060;0
22-11-2023 00:42;4.060;0
22-11-2023 00:47;4.060;0
22-11-2023 00:52;4.060;0
22-11-2023 00:57;4.060;0
22-11-2023 01:02;4.060;0
22-11-2023 01:07;4.060;0
22-11-2023 01:12;4.060;0
22-11-2023 01:17;4.060;0
22-11-2023 01:22;4.060;0
22-11-2023 01:27;4.060;0
22-11-2023 01:32;4.060;0
22-11-2023 01:37;4.060;0
22-11-2023 01:42;4.060;0
22-11-2023 01:47;4.060;0
22-11-2023 01:52;4.060;0
22-11-2023 01:57;4.060;0
22-11-2023 02:02;4.060;0
22-11-2023 02:07;4.060;0
22-11-2023 02:12;4.060;0
22-11-2023 02:17;4.060;0
22-11-2023 02:22;4.060;0
22-11-2023 02:27;4.060;0
22-11-2023 02:32;4.060;0
22-11-2023 02:37;4.060;0
22-11-2023 02:42;4.060;0
22-11-2023 02:47;4.060;0
22-11-2023 02:52;4.060;0
22-11-2023 02:57;4.060;0
