Vandportalen - www.vandportalen.dk
Lokalitet:;49.33 Arresø Kanal, I det gamle bådhus, 150 m ns Arresø
Tidsserie:;Vandstand
Drives af Halsnæs Kommune
Dataperiode:;01-01-1917 00:00 - 07-11-2024 00:59 ( UTC +01:00:00 )
Vandstandsskala nulpunkt kote:;3 m DVR90
ks mrk.:;0= ikke-korrigerede data (rådata)
;1= data udtyndet for outliers
;2= kvalitetskontrolleret data
Udtræksdato: ;29-10-2024 12:39

WSP og dataleverandører til Vandportalen kan ikke drages til ansvar for målingernes rigtighed.

Dato (DK normaltid);Vandstand (m DVR90);ks mrk.
23-10-2024 09:24;3.845;0
23-10-2024 09:39;3.870;0
23-10-2024 09:54;3.862;0
23-10-2024 10:09;3.854;0
23-10-2024 10:24;3.864;0
23-10-2024 10:30;3.855;0
23-10-2024 10:39;3.848;0
23-10-2024 10:54;3.852;0
23-10-2024 11:09;3.850;0
23-10-2024 11:24;3.843;0
23-10-2024 11:39;3.841;0
23-10-2024 11:54;3.849;0
23-10-2024 12:09;3.851;0
23-10-2024 12:24;3.847;0
23-10-2024 12:39;3.845;0
23-10-2024 12:54;3.837;0
23-10-2024 13:09;3.840;0
23-10-2024 13:24;3.850;0
23-10-2024 13:39;3.852;0
23-10-2024 13:54;3.841;0
23-10-2024 14:09;3.843;0
23-10-2024 14:24;3.839;0
23-10-2024 14:39;3.851;0
23-10-2024 14:54;3.856;0
23-10-2024 15:09;3.847;0
23-10-2024 15:24;3.847;0
23-10-2024 15:39;3.847;0
23-10-2024 15:54;3.845;0
23-10-2024 16:09;3.854;0
23-10-2024 16:24;3.853;0
23-10-2024 16:39;3.851;0
23-10-2024 16:54;3.853;0
23-10-2024 17:09;3.854;0
23-10-2024 17:24;3.854;0
23-10-2024 17:39;3.857;0
23-10-2024 17:54;3.857;0
23-10-2024 18:09;3.852;0
23-10-2024 18:24;3.850;0
23-10-2024 18:39;3.850;0
23-10-2024 18:54;3.852;0
23-10-2024 19:09;3.851;0
23-10-2024 19:24;3.850;0
23-10-2024 19:39;3.845;0
23-10-2024 19:54;3.845;0
23-10-2024 20:09;3.845;0
23-10-2024 20:24;3.851;0
23-10-2024 20:39;3.853;0
23-10-2024 20:54;3.850;0
23-10-2024 21:09;3.850;0
23-10-2024 21:24;3.851;0
23-10-2024 21:39;3.850;0
23-10-2024 21:54;3.852;0
23-10-2024 22:09;3.852;0
23-10-2024 22:24;3.849;0
23-10-2024 22:39;3.850;0
23-10-2024 22:54;3.849;0
23-10-2024 23:09;3.849;0
23-10-2024 23:24;3.850;0
23-10-2024 23:39;3.847;0
23-10-2024 23:54;3.850;0
24-10-2024 00:09;3.850;0
24-10-2024 00:24;3.849;0
24-10-2024 00:39;3.854;0
24-10-2024 00:54;3.849;0
24-10-2024 01:09;3.849;0
24-10-2024 01:24;3.849;0
24-10-2024 01:39;3.846;0
24-10-2024 01:54;3.847;0
24-10-2024 02:09;3.845;0
24-10-2024 02:24;3.846;0
24-10-2024 02:39;3.849;0
24-10-2024 02:54;3.845;0
24-10-2024 03:09;3.849;0
24-10-2024 03:24;3.855;0
24-10-2024 03:39;3.848;0
24-10-2024 03:54;3.847;0
24-10-2024 04:09;3.852;0
24-10-2024 04:24;3.853;0
24-10-2024 04:39;3.853;0
24-10-2024 04:54;3.850;0
24-10-2024 05:09;3.847;0
24-10-2024 05:24;3.843;0
24-10-2024 05:39;3.850;0
24-10-2024 05:54;3.855;0
24-10-2024 06:09;3.854;0
24-10-2024 06:24;3.852;0
24-10-2024 06:39;3.846;0
24-10-2024 06:54;3.849;0
24-10-2024 07:09;3.856;0
24-10-2024 07:24;3.855;0
24-10-2024 07:39;3.850;0
24-10-2024 07:54;3.851;0
24-10-2024 08:09;3.848;0
24-10-2024 08:24;3.851;0
