Dato (DK normaltid),Vandf¿ring D¿gnmiddel (DMP) (l/s),ks mrk.
01-01-1978 00:00,784,2
02-01-1978 00:00,778.6,2
03-01-1978 00:00,787.6,2
04-01-1978 00:00,795.2,2
05-01-1978 00:00,790.2,2
06-01-1978 00:00,791.4,2
07-01-1978 00:00,794,2
08-01-1978 00:00,795.2,2
09-01-1978 00:00,796.5,2
10-01-1978 00:00,794,2
11-01-1978 00:00,800.2,2
12-01-1978 00:00,808.9,2
13-01-1978 00:00,807.7,2
14-01-1978 00:00,808.9,2
15-01-1978 00:00,810.1,2
16-01-1978 00:00,812.6,2
17-01-1978 00:00,813.8,2
18-01-1978 00:00,816.2,2
19-01-1978 00:00,816.2,2
20-01-1978 00:00,819.9,2
21-01-1978 00:00,816.7,2
22-01-1978 00:00,815.5,2
23-01-1978 00:00,816.7,2
24-01-1978 00:00,820.3,2
25-01-1978 00:00,820.3,2
26-01-1978 00:00,819.1,2
27-01-1978 00:00,820.3,2
28-01-1978 00:00,818.5,2
29-01-1978 00:00,820.9,2
30-01-1978 00:00,820.9,2
31-01-1978 00:00,822.1,2
01-02-1978 00:00,891,2
02-02-1978 00:00,1030,2
03-02-1978 00:00,1030,2
04-02-1978 00:00,1031,2
05-02-1978 00:00,1035,2
06-02-1978 00:00,1035,2
07-02-1978 00:00,1035,2
08-02-1978 00:00,1328,2
09-02-1978 00:00,1817,2
10-02-1978 00:00,1817,2
11-02-1978 00:00,1815,2
12-02-1978 00:00,1815,2
13-02-1978 00:00,1815,2
14-02-1978 00:00,1815,2
15-02-1978 00:00,1815,2
16-02-1978 00:00,1812,2
17-02-1978 00:00,1809,2
18-02-1978 00:00,1813,2
19-02-1978 00:00,1813,2
20-02-1978 00:00,1813,2
21-02-1978 00:00,1800,2
22-02-1978 00:00,1797,2
23-02-1978 00:00,1794,2
24-02-1978 00:00,1984,2
25-02-1978 00:00,2227,2
26-02-1978 00:00,2220,2
27-02-1978 00:00,2224,2
28-02-1978 00:00,2226,2
01-03-1978 00:00,2229,2
02-03-1978 00:00,2237,2
03-03-1978 00:00,2238,2
04-03-1978 00:00,2235,2
05-03-1978 00:00,2239,2
06-03-1978 00:00,2239,2
07-03-1978 00:00,2239,2
08-03-1978 00:00,2247,2
09-03-1978 00:00,2255,2
10-03-1978 00:00,2240,2
11-03-1978 00:00,2238,2
12-03-1978 00:00,2251,2
13-03-1978 00:00,2260,2
14-03-1978 00:00,2273,2
15-03-1978 00:00,2294,2
16-03-1978 00:00,2322,2
17-03-1978 00:00,2330,2
18-03-1978 00:00,2349,2
19-03-1978 00:00,2358,2
20-03-1978 00:00,2653,2
21-03-1978 00:00,3135,2
22-03-1978 00:00,3185,2
23-03-1978 00:00,3326,2
24-03-1978 00:00,3331,2
25-03-1978 00:00,3325,2
26-03-1978 00:00,3350,2
27-03-1978 00:00,3360,2
28-03-1978 00:00,3393,2
29-03-1978 00:00,3370,2
30-03-1978 00:00,3376,2
31-03-1978 00:00,3538,2
01-04-1978 00:00,3587,2
02-04-1978 00:00,3654,2
03-04-1978 00:00,3669,2
04-04-1978 00:00,3626,2
05-04-1978 00:00,3663,2
06-04-1978 00:00,3654,2
07-04-1978 00:00,3651,2
08-04-1978 00:00,3624,2
09-04-1978 00:00,3650,2
10-04-1978 00:00,3657,2
11-04-1978 00:00,3661,2
12-04-1978 00:00,3592,2
13-04-1978 00:00,3531,2
14-04-1978 00:00,3515,2
15-04-1978 00:00,3505,2
16-04-1978 00:00,3512,2
17-04-1978 00:00,3502,2
18-04-1978 00:00,3533,2
19-04-1978 00:00,3274,2
20-04-1978 00:00,3349,2
21-04-1978 00:00,3424,2
