﻿Stedtype;StedID;Stedtekst;GeoZone;x-koordinat;y-koordinat;Kommune;Region;Medie;Vandområde;Dato;Måling nr;Undersøgelsestype;Teknisk anvisning;Dataejer;Link;Målested navn;Målested GeoZone;Målested, x-koordinat;Målested, y-koordinat;Feltmåling nr;Startdato;Dybde;Parameter;Resultat-attribut;Resultat;Enhed;Kvalitetsmærke
Station;49000054;ARRESØ KANAL, ARRESØDAL SLUSE;32;689172;6207567;Halsnæs;Region Hovedstaden;Vandløb;Poel Å;27-09-2006;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/6bd93cfe-0edf-4293-8335-6bdad4aa302e;FRB1696;32;689172;6207567;1;27-09-2006 10:20:00 +02:00;;Oxygenmætning; =;86;pct;2
Station;49000054;ARRESØ KANAL, ARRESØDAL SLUSE;32;689172;6207567;Halsnæs;Region Hovedstaden;Vandløb;Poel Å;06-09-1989;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/339f70d6-79ca-4705-ae3b-cc939a5b491d;FRB1696;32;689172;6207567;1;06-09-1989 09:30:00 +02:00;;Oxygen indhold; =;10,9;mg/l;3
Station;49000054;ARRESØ KANAL, ARRESØDAL SLUSE;32;689172;6207567;Halsnæs;Region Hovedstaden;Vandløb;Poel Å;12-05-1993;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/169e3f77-7c2e-460a-8f09-ff022744455a;FRB1696;32;689172;6207567;1;12-05-1993 08:31:00 +02:00;;Temperatur; =;15,8;grader C;3
Station;49000054;ARRESØ KANAL, ARRESØDAL SLUSE;32;689172;6207567;Halsnæs;Region Hovedstaden;Vandløb;Poel Å;04-01-1995;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c2cc4cd1-a8b2-4704-947b-cd76ae27f974;FRB1696;32;689172;6207567;1;04-01-1995 10:31:00 +01:00;;Oxygen indhold; =;13,9;mg/l;3
Station;49000054;ARRESØ KANAL, ARRESØDAL SLUSE;32;689172;6207567;Halsnæs;Region Hovedstaden;Vandløb;Poel Å;26-05-1999;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/24d0c319-3136-4bd6-9733-b86cbc8c9fef;FRB1696;32;689172;6207567;1;26-05-1999 10:00:00 +02:00;;Temperatur; =;14,9;grader C;3
Station;49000054;ARRESØ KANAL, ARRESØDAL SLUSE;32;689172;6207567;Halsnæs;Region Hovedstaden;Vandløb;Poel Å;26-04-2006;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c32e69c2-153c-41fb-a5ed-097e2b991c58;FRB1696;32;689172;6207567;1;26-04-2006 10:10:00 +02:00;;Oxygenmætning; =;118;pct;2
Station;49000054;ARRESØ KANAL, ARRESØDAL SLUSE;32;689172;6207567;Halsnæs;Region Hovedstaden;Vandløb;Poel Å;09-07-2020;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c3a44024-f9d7-47c1-a259-2eefd53c673a;FRB1696;32;689172;6207567;1;09-07-2020 15:31:00 +02:00;;Temperatur; =;17;grader C;2
Station;49000054;ARRESØ KANAL, ARRESØDAL SLUSE;32;689172;6207567;Halsnæs;Region Hovedstaden;Vandløb;Poel Å;13-12-2011;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/53543e6c-f0dc-462a-b2e3-672db25b24bd;FRB1696;32;689172;6207567;1;13-12-2011 11:00:00 +01:00;;Temperatur; =;4,1;grader C;3
Station;49000054;ARRESØ KANAL, ARRESØDAL SLUSE;32;689172;6207567;Halsnæs;Region Hovedstaden;Vandløb;Poel Å;15-11-2017;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/07bbd42d-8aba-45ba-a5e6-403e682475ec;FRB1696;32;689172;6207567;1;15-11-2017 08:00:00 +01:00;;pH; =;8,3;pH;2
Station;49000054;ARRESØ KANAL, ARRESØDAL SLUSE;32;689172;6207567;Halsnæs;Region Hovedstaden;Vandløb;Poel Å;26-06-2013;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/e468369c-5019-41a7-9993-bff8ccc1d0d3;FRB1696;32;689172;6207567;1;26-06-2013 10:40:00 +02:00;;Temperatur; =;17,6;grader C;3
