﻿Stedtype;StedID;Stedtekst;Referencer;GeoZone;x-koordinat;y-koordinat;Kommune;Region;Medie;Vandområde;Dato;Måling nr;Undersøgelsestype;Teknisk anvisning;Dataejer;Link;Målested navn;Målested GeoZone;Målested, x-koordinat;Målested, y-koordinat;Prøvetagning;Prøve;Prøvetype;Delprøve;Analysefraktion;CASnr;ScKode;Stofparameter;Resultat-attribut;Resultat;Enhed;Detektionsgrænse LD;Kvantifikationsgrænse LQ;Kvalitetsmærke
Station;49000054;ARRESØ KANAL, ARRESØDAL SLUSE;490056, FRB1696, 49.06, 1696, NST1696;32;689172;6207567;Halsnæs;Region Hovedstaden;Vandløb;Poel Å;20-03-1986;1;Vandkemi, Vandløb;Nej;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/60e2a7d8-435a-47da-b1ab-3540223398f4;FRB1696;32;689172;6207567;1;1;Enkeltprøve;1;Ej oplyst;;183;COD, Kemisk iltforbrug; =;51;mg/l;9999999;;3
Station;49000054;ARRESØ KANAL, ARRESØDAL SLUSE;490056, FRB1696, 49.06, 1696, NST1696;32;689172;6207567;Halsnæs;Region Hovedstaden;Vandløb;Poel Å;20-03-1986;1;Vandkemi, Vandløb;Nej;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/60e2a7d8-435a-47da-b1ab-3540223398f4;FRB1696;32;689172;6207567;1;1;Enkeltprøve;1;Total;;241;Ammoniak+ammonium-N; =;0,03;mg/l;9999999;;3
Station;49000054;ARRESØ KANAL, ARRESØDAL SLUSE;490056, FRB1696, 49.06, 1696, NST1696;32;689172;6207567;Halsnæs;Region Hovedstaden;Vandløb;Poel Å;05-03-1986;1;Vandkemi, Vandløb;Nej;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/9df21937-31ff-4ef2-baee-373f7e546aec;FRB1696;32;689172;6207567;1;1;Enkeltprøve;1;Ej oplyst;;183;COD, Kemisk iltforbrug; =;70;mg/l;9999999;;3
Station;49000054;ARRESØ KANAL, ARRESØDAL SLUSE;490056, FRB1696, 49.06, 1696, NST1696;32;689172;6207567;Halsnæs;Region Hovedstaden;Vandløb;Poel Å;19-02-1986;1;Vandkemi, Vandløb;Nej;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/4ae3724b-2f79-4f83-a6dd-0eb2c4c15bd9;FRB1696;32;689172;6207567;1;1;Enkeltprøve;1;Opløst - filtrat fra filtrering;;251;Nitrit+nitrat-N; =;1,83;mg/l;9999999;;3
Station;49000054;ARRESØ KANAL, ARRESØDAL SLUSE;490056, FRB1696, 49.06, 1696, NST1696;32;689172;6207567;Halsnæs;Region Hovedstaden;Vandløb;Poel Å;19-02-1986;1;Vandkemi, Vandløb;Nej;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/4ae3724b-2f79-4f83-a6dd-0eb2c4c15bd9;FRB1696;32;689172;6207567;1;1;Enkeltprøve;1;Total;;253;Nitrogen,total N; =;3,65;mg/l;9999999;;3
Station;49000054;ARRESØ KANAL, ARRESØDAL SLUSE;490056, FRB1696, 49.06, 1696, NST1696;32;689172;6207567;Halsnæs;Region Hovedstaden;Vandløb;Poel Å;19-02-1986;1;Vandkemi, Vandløb;Nej;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/4ae3724b-2f79-4f83-a6dd-0eb2c4c15bd9;FRB1696;32;689172;6207567;1;1;Enkeltprøve;1;Opløst - filtrat fra filtrering;;256;Ortho-phosphat-P; =;0,82;mg/l;9999999;;3
Station;49000054;ARRESØ KANAL, ARRESØDAL SLUSE;490056, FRB1696, 49.06, 1696, NST1696;32;689172;6207567;Halsnæs;Region Hovedstaden;Vandløb;Poel Å;19-02-1986;1;Vandkemi, Vandløb;Nej;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/4ae3724b-2f79-4f83-a6dd-0eb2c4c15bd9;FRB1696;32;689172;6207567;1;1;Enkeltprøve;1;Ej oplyst;;183;COD, Kemisk iltforbrug; =;65;mg/l;9999999;;3
Station;49000054;ARRESØ KANAL, ARRESØDAL SLUSE;490056, FRB1696, 49.06, 1696, NST1696;32;689172;6207567;Halsnæs;Region Hovedstaden;Vandløb;Poel Å;05-02-1986;1;Vandkemi, Vandløb;Nej;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/1eb7ad2c-dce6-4716-8455-7645641cbae0;FRB1696;32;689172;6207567;1;1;Enkeltprøve;1;Total;;241;Ammoniak+ammonium-N; =;0,03;mg/l;9999999;;3
Station;49000054;ARRESØ KANAL, ARRESØDAL SLUSE;490056, FRB1696, 49.06, 1696, NST1696;32;689172;6207567;Halsnæs;Region Hovedstaden;Vandløb;Poel Å;05-02-1986;1;Vandkemi, Vandløb;Nej;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/1eb7ad2c-dce6-4716-8455-7645641cbae0;FRB1696;32;689172;6207567;1;1;Enkeltprøve;1;Ej oplyst;;183;COD, Kemisk iltforbrug; =;56;mg/l;9999999;;3
Station;49000054;ARRESØ KANAL, ARRESØDAL SLUSE;490056, FRB1696, 49.06, 1696, NST1696;32;689172;6207567;Halsnæs;Region Hovedstaden;Vandløb;Poel Å;21-01-1986;1;Vandkemi, Vandløb;Nej;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/0782062f-5bfe-45f2-b783-d38265aae3af;FRB1696;32;689172;6207567;1;1;Enkeltprøve;1;Ej oplyst;;183;COD, Kemisk iltforbrug; =;55;mg/l;9999999;;3
Station;49000054;ARRESØ KANAL, ARRESØDAL SLUSE;490056, FRB1696, 49.06, 1696, NST1696;32;689172;6207567;Halsnæs;Region Hovedstaden;Vandløb;Poel Å;07-01-1986;1;Vandkemi, Vandløb;Nej;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/1fc9c925-dea0-46f4-afc0-70dfbb33911e;FRB1696;32;689172;6207567;1;1;Enkeltprøve;1;Total;;261;Phosphor, total-P; =;1,02;mg/l;9999999;;3
Station;49000054;ARRESØ KANAL, ARRESØDAL SLUSE;490056, FRB1696, 49.06, 1696, NST1696;32;689172;6207567;Halsnæs;Region Hovedstaden;Vandløb;Poel Å;07-01-1986;1;Vandkemi, Vandløb;Nej;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/1fc9c925-dea0-46f4-afc0-70dfbb33911e;FRB1696;32;689172;6207567;1;1;Enkeltprøve;1;Ej oplyst;;183;COD, Kemisk iltforbrug; =;60;mg/l;9999999;;3
Station;49000054;ARRESØ KANAL, ARRESØDAL SLUSE;490056, FRB1696, 49.06, 1696, NST1696;32;689172;6207567;Halsnæs;Region Hovedstaden;Vandløb;Poel Å;07-01-1986;1;Vandkemi, Vandløb;Nej;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/1fc9c925-dea0-46f4-afc0-70dfbb33911e;FRB1696;32;689172;6207567;1;1;Enkeltprøve;1;Opløst - filtrat fra filtrering;;251;Nitrit+nitrat-N; =;1,66;mg/l;9999999;;3
Station;49000054;ARRESØ KANAL, ARRESØDAL SLUSE;490056, FRB1696, 49.06, 1696, NST1696;32;689172;6207567;Halsnæs;Region Hovedstaden;Vandløb;Poel Å;18-12-1985;1;Vandkemi, Vandløb;Nej;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c41e4730-8723-4473-a086-c9cbf875273c;FRB1696;32;689172;6207567;1;1;Enkeltprøve;1;Total;;261;Phosphor, total-P; =;1,11;mg/l;9999999;;3
Station;49000054;ARRESØ KANAL, ARRESØDAL SLUSE;490056, FRB1696, 49.06, 1696, NST1696;32;689172;6207567;Halsnæs;Region Hovedstaden;Vandløb;Poel Å;18-12-1985;1;Vandkemi, Vandløb;Nej;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c41e4730-8723-4473-a086-c9cbf875273c;FRB1696;32;689172;6207567;1;1;Enkeltprøve;1;Ej oplyst;;183;COD, Kemisk iltforbrug; =;105;mg/l;9999999;;3
Station;49000054;ARRESØ KANAL, ARRESØDAL SLUSE;490056, FRB1696, 49.06, 1696, NST1696;32;689172;6207567;Halsnæs;Region Hovedstaden;Vandløb;Poel Å;18-12-1985;1;Vandkemi, Vandløb;Nej;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c41e4730-8723-4473-a086-c9cbf875273c;FRB1696;32;689172;6207567;1;1;Enkeltprøve;1;Total;;253;Nitrogen,total N; =;3,7;mg/l;9999999;;3
Station;49000054;ARRESØ KANAL, ARRESØDAL SLUSE;490056, FRB1696, 49.06, 1696, NST1696;32;689172;6207567;Halsnæs;Region Hovedstaden;Vandløb;Poel Å;18-12-1985;1;Vandkemi, Vandløb;Nej;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c41e4730-8723-4473-a086-c9cbf875273c;FRB1696;32;689172;6207567;1;1;Enkeltprøve;1;Total;;241;Ammoniak+ammonium-N; =;0,04;mg/l;9999999;;3
Station;49000054;ARRESØ KANAL, ARRESØDAL SLUSE;490056, FRB1696, 49.06, 1696, NST1696;32;689172;6207567;Halsnæs;Region Hovedstaden;Vandløb;Poel Å;04-12-1985;1;Vandkemi, Vandløb;Nej;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/3ea778e1-a989-4376-8ddc-59a55f40c71a;FRB1696;32;689172;6207567;1;1;Enkeltprøve;1;Opløst - filtrat fra filtrering;;251;Nitrit+nitrat-N; =;1,56;mg/l;9999999;;3
