Dato (DK normaltid),Vandf¿ring D¿gnmiddel (DMP) (l/s),ks mrk.
19-05-1978 00:00,164.3,2
20-05-1978 00:00,146.8,2
21-05-1978 00:00,144.8,2
22-05-1978 00:00,135.6,2
23-05-1978 00:00,212.3,2
24-05-1978 00:00,146.1,2
25-05-1978 00:00,130,2
26-05-1978 00:00,130,2
27-05-1978 00:00,130,2
28-05-1978 00:00,120,2
29-05-1978 00:00,120,2
30-05-1978 00:00,120,2
31-05-1978 00:00,120,2
01-06-1978 00:00,120,2
02-06-1978 00:00,233.8,2
03-06-1978 00:00,217.4,2
04-06-1978 00:00,201.9,2
05-06-1978 00:00,210.1,2
06-06-1978 00:00,210.5,2
07-06-1978 00:00,267.6,2
08-06-1978 00:00,259,2
09-06-1978 00:00,211.5,2
10-06-1978 00:00,204.5,2
11-06-1978 00:00,212.2,2
12-06-1978 00:00,250.6,2
13-06-1978 00:00,191.7,2
14-06-1978 00:00,178.8,2
15-06-1978 00:00,173,2
16-06-1978 00:00,161.1,2
17-06-1978 00:00,161.8,2
18-06-1978 00:00,156.6,2
19-06-1978 00:00,163.2,2
20-06-1978 00:00,158,2
21-06-1978 00:00,158.7,2
22-06-1978 00:00,159.4,2
23-06-1978 00:00,165.8,2
24-06-1978 00:00,184.3,2
25-06-1978 00:00,144.8,2
26-06-1978 00:00,265.6,2
27-06-1978 00:00,191.9,2
28-06-1978 00:00,386.4,2
29-06-1978 00:00,175.1,2
30-06-1978 00:00,169.9,2
01-07-1978 00:00,151.9,2
02-07-1978 00:00,140.1,2
03-07-1978 00:00,205.3,2
04-07-1978 00:00,147.1,2
05-07-1978 00:00,189.3,2
06-07-1978 00:00,199.2,2
07-07-1978 00:00,305.9,2
08-07-1978 00:00,350.5,2
09-07-1978 00:00,257.1,2
10-07-1978 00:00,203.1,2
11-07-1978 00:00,195.2,2
12-07-1978 00:00,223.7,2
13-07-1978 00:00,185.5,2
14-07-1978 00:00,141.5,2
15-07-1978 00:00,130.5,2
16-07-1978 00:00,129.1,2
17-07-1978 00:00,146.8,2
18-07-1978 00:00,155.2,2
19-07-1978 00:00,153.6,2
20-07-1978 00:00,244.5,2
21-07-1978 00:00,585.8,2
22-07-1978 00:00,239.9,2
23-07-1978 00:00,178.4,2
24-07-1978 00:00,187.6,2
25-07-1978 00:00,273,2
26-07-1978 00:00,231.1,2
27-07-1978 00:00,193.2,2
28-07-1978 00:00,169.7,2
29-07-1978 00:00,168,2
30-07-1978 00:00,146.4,2
31-07-1978 00:00,164.6,2
01-08-1978 00:00,153,2
02-08-1978 00:00,161.4,2
03-08-1978 00:00,171.6,2
04-08-1978 00:00,228.3,2
05-08-1978 00:00,240.8,2
06-08-1978 00:00,216.1,2
07-08-1978 00:00,182,2
08-08-1978 00:00,216,2
09-08-1978 00:00,213,2
10-08-1978 00:00,209.9,2
11-08-1978 00:00,198.8,2
12-08-1978 00:00,194.6,2
13-08-1978 00:00,190.6,2
14-08-1978 00:00,213.5,2
15-08-1978 00:00,230.1,2
16-08-1978 00:00,247.3,2
17-08-1978 00:00,257.3,2
18-08-1978 00:00,290.9,2
19-08-1978 00:00,226.3,2
20-08-1978 00:00,208.4,2
21-08-1978 00:00,267.6,2
22-08-1978 00:00,270.2,2
23-08-1978 00:00,243.4,2
24-08-1978 00:00,232,2
25-08-1978 00:00,227.6,2
26-08-1978 00:00,335.8,2
27-08-1978 00:00,592.4,2
28-08-1978 00:00,357.8,2
29-08-1978 00:00,404.4,2
30-08-1978 00:00,337.7,2
31-08-1978 00:00,209.5,2
01-09-1978 00:00,412.1,2
02-09-1978 00:00,405.6,2
03-09-1978 00:00,315.7,2
04-09-1978 00:00,807.3,2
05-09-1978 00:00,479,2
06-09-1978 00:00,363.7,2
07-09-1978 00:00,287.8,2
08-09-1978 00:00,254.9,2
09-09-1978 00:00,250.5,2
10-09-1978 00:00,365.5,2
11-09-1978 00:00,368,2
12-09-1978 00:00,395.9,2
13-09-1978 00:00,295.2,2
14-09-1978 00:00,384,2
15-09-1978 00:00,545.4,2
16-09-1978 00:00,478.8,2
17-09-1978 00:00,335,2
18-09-1978 00:00,300.1,2
19-09-1978 00:00,340,2
20-09-1978 00:00,269.8,2
21-09-1978 00:00,279,2
22-09-1978 00:00,273.1,2
23-09-1978 00:00,347.1,2
24-09-1978 00:00,545.8,2
25-09-1978 00:00,547.3,2
26-09-1978 00:00,518.7,2
27-09-1978 00:00,581.5,2
28-09-1978 00:00,572.6,2
29-09-1978 00:00,465.4,2
30-09-1978 00:00,379,2
01-10-1978 00:00,363.9,2
02-10-1978 00:00,333.5,2
03-10-1978 00:00,311.9,2
04-10-1978 00:00,312.9,2
05-10-1978 00:00,401.8,2
06-10-1978 00:00,651.2,2
07-10-1978 00:00,448.8,2
08-10-1978 00:00,380.4,2
09-10-1978 00:00,433.6,2
10-10-1978 00:00,399.9,2
11-10-1978 00:00,400,2
12-10-1978 00:00,366.3,2
13-10-1978 00:00,342.6,2
14-10-1978 00:00,320,2
15-10-1978 00:00,298.5,2
16-10-1978 00:00,300,2
17-10-1978 00:00,290,2
18-10-1978 00:00,279.9,2
19-10-1978 00:00,287.6,2
20-10-1978 00:00,295.4,2
21-10-1978 00:00,277.6,2
22-10-1978 00:00,285.2,2
23-10-1978 00:00,319.1,2
24-10-1978 00:00,336.3,2
25-10-1978 00:00,274.5,2
26-10-1978 00:00,257.5,2
27-10-1978 00:00,256.7,2
28-10-1978 00:00,225.3,2
29-10-1978 00:00,217.6,2
30-10-1978 00:00,232.1,2
31-10-1978 00:00,239.4,2
01-11-1978 00:00,231.4,2
02-11-1978 00:00,231,2
03-11-1978 00:00,230,2
04-11-1978 00:00,230,2
05-11-1978 00:00,230,2
06-11-1978 00:00,220,2
07-11-1978 00:00,210,2
08-11-1978 00:00,200,2
09-11-1978 00:00,190,2
10-11-1978 00:00,188,2
11-11-1978 00:00,180,2
12-11-1978 00:00,180,2
13-11-1978 00:00,180,2
14-11-1978 00:00,180,2
15-11-1978 00:00,180,2
16-11-1978 00:00,300,2
17-11-1978 00:00,384.8,2
18-11-1978 00:00,449.5,2
19-11-1978 00:00,442.4,2
20-11-1978 00:00,489.5,2
21-11-1978 00:00,358.2,2
22-11-1978 00:00,361.2,2
23-11-1978 00:00,374,2
24-11-1978 00:00,482.3,2
25-11-1978 00:00,380.3,2
26-11-1978 00:00,325.6,2
27-11-1978 00:00,337.9,2
28-11-1978 00:00,370,2
29-11-1978 00:00,324.9,2
30-11-1978 00:00,273.7,2
01-12-1978 00:00,267.6,2
02-12-1978 00:00,261.5,2
03-12-1978 00:00,255.5,2
04-12-1978 00:00,266.5,2
05-12-1978 00:00,260.4,2
06-12-1978 00:00,245.9,2
07-12-1978 00:00,239.9,2
08-12-1978 00:00,234,2
09-12-1978 00:00,228.1,2
10-12-1978 00:00,247,2
11-12-1978 00:00,249.4,2
12-12-1978 00:00,296.5,2
13-12-1978 00:00,378.1,2
14-12-1978 00:00,435.4,2
15-12-1978 00:00,391.8,2
16-12-1978 00:00,283.3,2
17-12-1978 00:00,256.4,2
18-12-1978 00:00,256.3,2
19-12-1978 00:00,273.9,2
20-12-1978 00:00,264.8,2
21-12-1978 00:00,255.9,2
22-12-1978 00:00,255.8,2
23-12-1978 00:00,247.1,2
24-12-1978 00:00,238.5,2
25-12-1978 00:00,246.8,2
26-12-1978 00:00,400.6,2
27-12-1978 00:00,319.3,2
28-12-1978 00:00,319.1,2
29-12-1978 00:00,309.4,2
30-12-1978 00:00,246.2,2
31-12-1978 00:00,254.7,2
01-01-1979 00:00,260.2,2
02-01-1979 00:00,260.4,2
03-01-1979 00:00,234.8,2
04-01-1979 00:00,243.4,2
