﻿Stedtype;StedID;Stedtekst;Referencer;GeoZone;x-koordinat;y-koordinat;Kommune;Region;Medie;Vandområde;Dato;Måling nr;Undersøgelsestype;Teknisk anvisning;Dataejer;Link;Målested navn;Målested GeoZone;Målested, x-koordinat;Målested, y-koordinat;Prøvetagning;Prøve;Prøvetype;Delprøve;Analysefraktion;CASnr;ScKode;Stofparameter;Resultat-attribut;Resultat;Enhed;Detektionsgrænse LD;Kvantifikationsgrænse LQ;Kvalitetsmærke
Station;49000082;PØLE Å, ORNED PLANTAGE, TIBBERUP HOLME;NST6194, FRB6194, NST1332, 1332, FRB6162, FRB1332, 490073;32;703361;6209444;Hillerød;Region Hovedstaden;Vandløb;Poel Å;14-10-1993;2;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/989d910c-f348-4194-a756-1e6b0f95fba1;FRB1332;32;703366;6209444;1;1;Enkeltprøve;1;Opløst - filtrat fra filtrering;;251;Nitrit+nitrat-N; =;3,74;mg/l;9999999;;2
Station;49000082;PØLE Å, ORNED PLANTAGE, TIBBERUP HOLME;NST6194, FRB6194, NST1332, 1332, FRB6162, FRB1332, 490073;32;703361;6209444;Hillerød;Region Hovedstaden;Vandløb;Poel Å;21-10-1993;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/15418870-6be7-4966-892b-f4251afd5f33;FRB6162;32;703353;6209460;1;1;Puljet prøve / tidsproportional;1;Total;;253;Nitrogen,total N; =;5,52;mg/l;9999999;;2
Station;49000082;PØLE Å, ORNED PLANTAGE, TIBBERUP HOLME;NST6194, FRB6194, NST1332, 1332, FRB6162, FRB1332, 490073;32;703361;6209444;Hillerød;Region Hovedstaden;Vandløb;Poel Å;11-11-1993;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/707a6578-b51b-424a-8643-de52bbf4b2d4;FRB6162;32;703353;6209460;1;1;Puljet prøve / tidsproportional;1;Total;;261;Phosphor, total-P; =;0,77;mg/l;9999999;;2
Station;49000082;PØLE Å, ORNED PLANTAGE, TIBBERUP HOLME;NST6194, FRB6194, NST1332, 1332, FRB6162, FRB1332, 490073;32;703361;6209444;Hillerød;Region Hovedstaden;Vandløb;Poel Å;02-12-1993;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/590269fe-96bb-4229-8c01-eb2896611b7e;FRB6162;32;703353;6209460;1;1;Puljet prøve / tidsproportional;1;Total;;253;Nitrogen,total N; =;7,01;mg/l;9999999;;2
Station;49000082;PØLE Å, ORNED PLANTAGE, TIBBERUP HOLME;NST6194, FRB6194, NST1332, 1332, FRB6162, FRB1332, 490073;32;703361;6209444;Hillerød;Region Hovedstaden;Vandløb;Poel Å;22-12-1993;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/eca4ae85-50e6-49e4-8208-18a8bdaab265;FRB6162;32;703353;6209460;1;1;Puljet prøve / tidsproportional;1;Ej oplyst;;183;COD, Kemisk iltforbrug; =;75;mg/l;9999999;;2
Station;49000082;PØLE Å, ORNED PLANTAGE, TIBBERUP HOLME;NST6194, FRB6194, NST1332, 1332, FRB6162, FRB1332, 490073;32;703361;6209444;Hillerød;Region Hovedstaden;Vandløb;Poel Å;22-12-1993;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/eca4ae85-50e6-49e4-8208-18a8bdaab265;FRB6162;32;703353;6209460;1;1;Puljet prøve / tidsproportional;1;Ej oplyst;;335;Sulfat; =;51;mg/l;9999999;;2
Station;49000082;PØLE Å, ORNED PLANTAGE, TIBBERUP HOLME;NST6194, FRB6194, NST1332, 1332, FRB6162, FRB1332, 490073;32;703361;6209444;Hillerød;Region Hovedstaden;Vandløb;Poel Å;30-12-1993;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/84fdad52-be1e-43c3-9aa9-6bd518929ce9;FRB6162;32;703353;6209460;1;1;Puljet prøve / tidsproportional;1;Total;;253;Nitrogen,total N; =;6,84;mg/l;9999999;;2
Station;49000082;PØLE Å, ORNED PLANTAGE, TIBBERUP HOLME;NST6194, FRB6194, NST1332, 1332, FRB6162, FRB1332, 490073;32;703361;6209444;Hillerød;Region Hovedstaden;Vandløb;Poel Å;13-01-1994;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/58472741-946b-421f-9ee6-2df8d5a27c63;FRB6162;32;703353;6209460;1;1;Puljet prøve / tidsproportional;1;Total;;261;Phosphor, total-P; =;0,64;mg/l;9999999;;2
Station;49000082;PØLE Å, ORNED PLANTAGE, TIBBERUP HOLME;NST6194, FRB6194, NST1332, 1332, FRB6162, FRB1332, 490073;32;703361;6209444;Hillerød;Region Hovedstaden;Vandløb;Poel Å;27-01-1994;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/188ce748-fc29-4a8d-8791-a33066649222;FRB6162;32;703353;6209460;1;1;Puljet prøve / tidsproportional;1;Ej oplyst;;183;COD, Kemisk iltforbrug; =;60;mg/l;9999999;;2
Station;49000082;PØLE Å, ORNED PLANTAGE, TIBBERUP HOLME;NST6194, FRB6194, NST1332, 1332, FRB6162, FRB1332, 490073;32;703361;6209444;Hillerød;Region Hovedstaden;Vandløb;Poel Å;10-02-1994;2;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/bbd8ec8e-4cf5-4304-ab1e-5157abecc373;FRB6162;32;703353;6209460;1;1;Puljet prøve / tidsproportional;1;Total;;253;Nitrogen,total N; =;7,7;mg/l;9999999;;2
