﻿Stedtype;StedID;Stedtekst;Referencer;GeoZone;x-koordinat;y-koordinat;Kommune;Region;Medie;Vandområde;Dato;Måling nr;Undersøgelsestype;Teknisk anvisning;Dataejer;Link;Målested navn;Målested GeoZone;Målested, x-koordinat;Målested, y-koordinat;Prøvetagning;Prøve;Prøvetype;Delprøve;Analysefraktion;CASnr;ScKode;Stofparameter;Resultat-attribut;Resultat;Enhed;Detektionsgrænse LD;Kvantifikationsgrænse LQ;Kvalitetsmærke
Station;49000057;LYNGBY Å, PUMPESTATION;NST1320, 49.19, 1320, 490091, FRB1320;32;692580;6203087;Hillerød;Region Hovedstaden;Vandløb;Poel Å;01-07-1985;1;Vandkemi, Vandløb;Nej;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/55cf5bd4-22d5-438b-89a8-77f9d60c748e;FRB1320;32;692580;6203087;1;1;Enkeltprøve;1;Opløst - filtrat fra filtrering;;256;Ortho-phosphat-P; =;2,19;mg/l;9999999;;3
Station;49000057;LYNGBY Å, PUMPESTATION;NST1320, 49.19, 1320, 490091, FRB1320;32;692580;6203087;Hillerød;Region Hovedstaden;Vandløb;Poel Å;05-02-1986;1;Vandkemi, Vandløb;Nej;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/22c76045-b72a-447e-8dd9-e48257171bd0;FRB1320;32;692580;6203087;1;1;Enkeltprøve;1;Opløst - filtrat fra filtrering;;256;Ortho-phosphat-P; =;0,38;mg/l;9999999;;3
Station;49000057;LYNGBY Å, PUMPESTATION;NST1320, 49.19, 1320, 490091, FRB1320;32;692580;6203087;Hillerød;Region Hovedstaden;Vandløb;Poel Å;25-01-1989;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/a68724e9-2a91-44df-a6d4-b3344615d44a;FRB1320;32;692580;6203087;1;1;Enkeltprøve;1;Opløst - filtrat fra filtrering;;251;Nitrit+nitrat-N; =;6,4;mg/l;9999999;;3
Station;49000057;LYNGBY Å, PUMPESTATION;NST1320, 49.19, 1320, 490091, FRB1320;32;692580;6203087;Hillerød;Region Hovedstaden;Vandløb;Poel Å;15-02-1989;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c62b0ede-3dbf-4e86-b4fb-da566a96d615;FRB1320;32;692580;6203087;1;1;Enkeltprøve;1;Opløst - filtrat fra filtrering;;251;Nitrit+nitrat-N; =;5,53;mg/l;9999999;;3
Station;49000057;LYNGBY Å, PUMPESTATION;NST1320, 49.19, 1320, 490091, FRB1320;32;692580;6203087;Hillerød;Region Hovedstaden;Vandløb;Poel Å;15-02-1989;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c62b0ede-3dbf-4e86-b4fb-da566a96d615;FRB1320;32;692580;6203087;1;1;Enkeltprøve;1;Ej oplyst;;280;Calcium; =;162;mg/l;9999999;;2
Station;49000057;LYNGBY Å, PUMPESTATION;NST1320, 49.19, 1320, 490091, FRB1320;32;692580;6203087;Hillerød;Region Hovedstaden;Vandløb;Poel Å;22-02-1989;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/fb80df54-6ab5-4310-b26f-a75b75ce7bce;FRB1320;32;692580;6203087;1;1;Enkeltprøve;1;Total;;13;pH; =;7,8;pH;9999999;;3
Station;49000057;LYNGBY Å, PUMPESTATION;NST1320, 49.19, 1320, 490091, FRB1320;32;692580;6203087;Hillerød;Region Hovedstaden;Vandløb;Poel Å;29-03-1989;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/ff6c07a8-d2da-4a62-b7a8-c9b2891ba727;FRB1320;32;692580;6203087;1;1;Enkeltprøve;1;Ej oplyst;;329;Silicium; =;4,5;mg/l;9999999;;2
Station;49000057;LYNGBY Å, PUMPESTATION;NST1320, 49.19, 1320, 490091, FRB1320;32;692580;6203087;Hillerød;Region Hovedstaden;Vandløb;Poel Å;26-04-1989;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d03d69eb-ccdf-4c50-b9e1-4a6f9d74070a;FRB1320;32;692580;6203087;1;1;Enkeltprøve;1;Total;;253;Nitrogen,total N; =;9,87;mg/l;9999999;;3
Station;49000057;LYNGBY Å, PUMPESTATION;NST1320, 49.19, 1320, 490091, FRB1320;32;692580;6203087;Hillerød;Region Hovedstaden;Vandløb;Poel Å;10-05-1989;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/ce3c0615-4990-49af-b0aa-7ad309639826;FRB1320;32;692580;6203087;1;1;Enkeltprøve;1;Total;;241;Ammoniak+ammonium-N; =;1,9;mg/l;9999999;;3
Station;49000057;LYNGBY Å, PUMPESTATION;NST1320, 49.19, 1320, 490091, FRB1320;32;692580;6203087;Hillerød;Region Hovedstaden;Vandløb;Poel Å;04-03-1985;1;Vandkemi, Vandløb;Nej;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/bf3afc35-248c-4d22-a97b-b20f824ca184;FRB1320;32;692580;6203087;1;1;Enkeltprøve;1;Total;;253;Nitrogen,total N; =;10,2;mg/l;9999999;;3
