Stedtype,StedID,Stedtekst,Referencer,GeoZone,x-koordinat,y-koordinat,Kommune,Region,Medie,Vandområde,Dato,Måling nr,Undersøgelsestype,Teknisk anvisning,Dataejer,Link,Målested navn,Målested GeoZone,"Målested, x-koordinat","Målested, y-koordinat",Prøvetagning,Prøve,Prøvetype,Delprøve,Analysefraktion,CASnr,ScKode,Stofparameter,Resultat-attribut,Resultat,Enhed,Detektionsgrænse LD,Kvantifikationsgrænse LQ,Kvalitetsmærke
Station,49000094,"PØLE Å, Ns Alsønderup Enge","FRB1348, 1348, 490110, NST1348",32,700057,6208333,Gribskov,Region Hovedstaden,Vandløb,Poel Å,20-12-2001,1,"Vandkemi, Vandløb",Ja,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/301f5d8a-bf1b-4bf8-8838-1b59830e9350,FRB1348,32,700057,6208333,1,1,Enkeltprøve,1,Total,,261,"Phosphor, total-P", =,"0,185",mg/l,9999999,,3
Station,49000145,"AFLØB ALSØNDERUP ENGE, NS. ALSØNDERUP ENGSØ",FRB6175,32,700057,6208333,Gribskov,Region Hovedstaden,Vandløb,Poel Å,15-06-2005,1,"Vandkemi, Vandløb",Ja,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/04346c56-cb1e-449b-a9ff-c16a564f6ff9,FRB6175,32,700057,6208333,1,1,Puljet prøve / tidsproportional,1,Total,,253,"Nitrogen,total N", =,"2,76",mg/l,9999999,,2
Station,49000145,"AFLØB ALSØNDERUP ENGE, NS. ALSØNDERUP ENGSØ",FRB6175,32,700057,6208333,Gribskov,Region Hovedstaden,Vandløb,Poel Å,21-06-2001,1,"Vandkemi, Vandløb",Ja,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/68cbba11-54f9-4e1a-bd2f-9b92e04122fe,FRB6175,32,700057,6208333,1,1,Enkeltprøve,1,Total,,261,"Phosphor, total-P", =,"0,229",mg/l,9999999,,2
Station,49000094,"PØLE Å, Ns Alsønderup Enge","FRB1348, 1348, 490110, NST1348",32,700057,6208333,Gribskov,Region Hovedstaden,Vandløb,Poel Å,12/2/08,1,"Vandkemi, Vandløb",Ja,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/f3828396-7afb-4c93-9019-944b99b10bb3,FRB1348,32,700057,6208333,1,1,Enkeltprøve,1,Total,,13,pH, =,"7,73",pH,9999999,,3
Station,49000145,"AFLØB ALSØNDERUP ENGE, NS. ALSØNDERUP ENGSØ",FRB6175,32,700057,6208333,Gribskov,Region Hovedstaden,Vandløb,Poel Å,18-12-2003,2,"Vandkemi, Vandløb",Ja,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/f5c8fd8f-75ad-4a1c-a7ad-1ab013e7b07a,FRB6175,32,700057,6208333,1,1,Enkeltprøve,1,Total,,312,Jern, =,"1,3",mg/l,9999999,,2
Station,49000145,"AFLØB ALSØNDERUP ENGE, NS. ALSØNDERUP ENGSØ",FRB6175,32,700057,6208333,Gribskov,Region Hovedstaden,Vandløb,Poel Å,20-02-2003,1,"Vandkemi, Vandløb",Ja,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/447b9694-f2b1-4f53-af35-148916b5d5db,FRB6175,32,700057,6208333,1,1,Puljet prøve / tidsproportional,1,Total,,253,"Nitrogen,total N", =,"8,33",mg/l,9999999,,2
Station,49000094,"PØLE Å, Ns Alsønderup Enge","FRB1348, 1348, 490110, NST1348",32,700057,6208333,Gribskov,Region Hovedstaden,Vandløb,Poel Å,31-07-2007,1,"Vandkemi, Vandløb",Ja,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/5c9ff5d4-26fd-41c7-ac7a-5dea202c4ed3,FRB1348,32,700057,6208333,1,1,Enkeltprøve,1,Opløst - filtrat fra filtrering,,256,Ortho-phosphat-P, =,"0,006",mg/l,9999999,,3
Station,49000094,"PØLE Å, Ns Alsønderup Enge","FRB1348, 1348, 490110, NST1348",32,700057,6208333,Gribskov,Region Hovedstaden,Vandløb,Poel Å,12/9/23,1,"Vandkemi, Vandløb",Ja,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/45fbd945-d81c-43a8-adc7-ec91e15eb0e3,FRB1348,32,700057,6208333,1,1,Enkeltprøve,1,Opløst - filtrat fra filtrering,,251,Nitrit+nitrat-N, =,"0,092",mg/l,"0,005",,2
Station,49000145,"AFLØB ALSØNDERUP ENGE, NS. ALSØNDERUP ENGSØ",FRB6175,32,700057,6208333,Gribskov,Region Hovedstaden,Vandløb,Poel Å,23-03-2005,1,"Vandkemi, Vandløb",Ja,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/1cdedb20-4bdd-45b9-9b35-75e1ecbe3d27,FRB6175,32,700057,6208333,1,1,Puljet prøve / tidsproportional,1,Total,,261,"Phosphor, total-P", =,"0,8",mg/l,9999999,,2
Station,49000145,"AFLØB ALSØNDERUP ENGE, NS. ALSØNDERUP ENGSØ",FRB6175,32,700057,6208333,Gribskov,Region Hovedstaden,Vandløb,Poel Å,5/7/01,1,"Vandkemi, Vandløb",Ja,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/676bd4e0-634a-42b1-aa9f-6ec0d42b7ab0,FRB6175,32,700057,6208333,1,1,Enkeltprøve,1,Total,,261,"Phosphor, total-P", =,"0,25",mg/l,9999999,,2
