Dato (DK normaltid),Vandf¿ring D¿gnmiddel (DMP) (l/s),ks mrk.
01-01-2015 00:00,159.705,2
02-01-2015 00:00,158.262,2
03-01-2015 00:00,163.162,2
04-01-2015 00:00,152.876,2
05-01-2015 00:00,139.99,2
06-01-2015 00:00,131.782,2
07-01-2015 00:00,119.559,2
08-01-2015 00:00,126.319,2
09-01-2015 00:00,124.097,2
10-01-2015 00:00,136.883,2
11-01-2015 00:00,130.815,2
12-01-2015 00:00,165.612,2
13-01-2015 00:00,183.561,2
14-01-2015 00:00,192.368,2
15-01-2015 00:00,215.877,2
16-01-2015 00:00,219.476,2
17-01-2015 00:00,207.381,2
18-01-2015 00:00,205.585,2
19-01-2015 00:00,202.997,2
20-01-2015 00:00,207.835,2
21-01-2015 00:00,210.383,2
22-01-2015 00:00,209.708,2
23-01-2015 00:00,208.729,2
24-01-2015 00:00,225.566,2
25-01-2015 00:00,215.223,2
26-01-2015 00:00,225,2
27-01-2015 00:00,225.733,2
28-01-2015 00:00,256.167,2
29-01-2015 00:00,265.068,2
30-01-2015 00:00,261.926,2
31-01-2015 00:00,258.728,2
01-02-2015 00:00,270.134,2
02-02-2015 00:00,285.377,2
03-02-2015 00:00,282.385,2
04-02-2015 00:00,276.194,2
05-02-2015 00:00,269.742,2
06-02-2015 00:00,266.261,2
07-02-2015 00:00,256.413,2
08-02-2015 00:00,249.907,2
09-02-2015 00:00,258.348,2
10-02-2015 00:00,266.99,2
11-02-2015 00:00,257.396,2
12-02-2015 00:00,286.041,2
13-02-2015 00:00,301.251,2
14-02-2015 00:00,291.068,2
15-02-2015 00:00,287.177,2
16-02-2015 00:00,290.693,2
17-02-2015 00:00,261.719,2
18-02-2015 00:00,248.297,2
19-02-2015 00:00,237.669,2
20-02-2015 00:00,229.381,2
21-02-2015 00:00,242.451,2
22-02-2015 00:00,291.248,2
23-02-2015 00:00,321.315,2
24-02-2015 00:00,332.743,2
25-02-2015 00:00,335.732,2
26-02-2015 00:00,342.627,2
27-02-2015 00:00,337.942,2
28-02-2015 00:00,333.446,2
01-03-2015 00:00,338.194,2
02-03-2015 00:00,328.425,2
03-03-2015 00:00,320.035,2
04-03-2015 00:00,308.146,2
05-03-2015 00:00,294.88,2
06-03-2015 00:00,283.784,2
07-03-2015 00:00,275.775,2
08-03-2015 00:00,258.827,2
09-03-2015 00:00,240.694,2
10-03-2015 00:00,233.362,2
11-03-2015 00:00,215.193,2
12-03-2015 00:00,205.23,2
13-03-2015 00:00,187.988,2
14-03-2015 00:00,179.807,2
15-03-2015 00:00,199.367,2
16-03-2015 00:00,209.79,2
17-03-2015 00:00,203.961,2
18-03-2015 00:00,201.381,2
19-03-2015 00:00,206.443,2
20-03-2015 00:00,207.617,2
21-03-2015 00:00,212.887,2
22-03-2015 00:00,208.844,2
23-03-2015 00:00,202.809,2
24-03-2015 00:00,193.679,2
25-03-2015 00:00,193.558,2
26-03-2015 00:00,187.924,2
27-03-2015 00:00,175.578,2
28-03-2015 00:00,174.177,2
29-03-2015 00:00,184.503,2
30-03-2015 00:00,197.855,2
31-03-2015 00:00,212.266,2
01-04-2015 00:00,208.252,2
02-04-2015 00:00,204.886,2
03-04-2015 00:00,207.46,2
04-04-2015 00:00,199.329,2
05-04-2015 00:00,193.715,2
06-04-2015 00:00,185.051,2
07-04-2015 00:00,170.739,2
08-04-2015 00:00,163.273,2
09-04-2015 00:00,159.915,2
10-04-2015 00:00,152.282,2
11-04-2015 00:00,152.506,2
12-04-2015 00:00,148.757,2
13-04-2015 00:00,163.028,2
14-04-2015 00:00,176.096,2
15-04-2015 00:00,177.99,2
16-04-2015 00:00,170.533,2
17-04-2015 00:00,165.318,2
18-04-2015 00:00,163.756,2
19-04-2015 00:00,156.117,2
20-04-2015 00:00,144.943,2
21-04-2015 00:00,137.542,2
22-04-2015 00:00,134.936,2
23-04-2015 00:00,122.57,2
24-04-2015 00:00,122.355,2
25-04-2015 00:00,127.443,2
26-04-2015 00:00,123.521,2
27-04-2015 00:00,121.676,2
28-04-2015 00:00,117.014,2
29-04-2015 00:00,116.978,2
30-04-2015 00:00,118.765,2
01-05-2015 00:00,110.365,2
02-05-2015 00:00,104.665,2
03-05-2015 00:00,110.927,2
04-05-2015 00:00,111.408,2
05-05-2015 00:00,110.786,2
06-05-2015 00:00,110.688,2
07-05-2015 00:00,112.533,2
08-05-2015 00:00,100.286,2
09-05-2015 00:00,102.664,2
10-05-2015 00:00,87.989,2
11-05-2015 00:00,93.431,2
12-05-2015 00:00,81.515,2
13-05-2015 00:00,75.324,2
14-05-2015 00:00,70.385,2
15-05-2015 00:00,68.741,2
16-05-2015 00:00,65.36,2
17-05-2015 00:00,55.643,2
18-05-2015 00:00,62.322,2
19-05-2015 00:00,71.872,2
20-05-2015 00:00,65.193,2
21-05-2015 00:00,59.51,2
22-05-2015 00:00,58.488,2
23-05-2015 00:00,51.339,2
24-05-2015 00:00,49.756,2
25-05-2015 00:00,49.046,2
26-05-2015 00:00,45.89,2
27-05-2015 00:00,39.924,2
28-05-2015 00:00,44.64,2
29-05-2015 00:00,42.494,2
30-05-2015 00:00,41.906,2
31-05-2015 00:00,43.879,2
01-06-2015 00:00,44.246,2
02-06-2015 00:00,50.213,2
03-06-2015 00:00,41.662,2
04-06-2015 00:00,35.951,2
05-06-2015 00:00,40.204,2
06-06-2015 00:00,38.217,2
07-06-2015 00:00,34.813,2
08-06-2015 00:00,30.697,2
09-06-2015 00:00,30.365,2
10-06-2015 00:00,29.716,2
11-06-2015 00:00,28.797,2
12-06-2015 00:00,28.411,2
13-06-2015 00:00,29.989,2
14-06-2015 00:00,26.659,2
15-06-2015 00:00,21.034,2
16-06-2015 00:00,21.61,2
17-06-2015 00:00,25.966,2
18-06-2015 00:00,27.195,2
19-06-2015 00:00,27.757,2
20-06-2015 00:00,27.661,2
21-06-2015 00:00,28.233,2
22-06-2015 00:00,31.87,2
23-06-2015 00:00,30.033,2
24-06-2015 00:00,28.159,2
25-06-2015 00:00,25.099,2
26-06-2015 00:00,23.19,2
27-06-2015 00:00,26.826,2
28-06-2015 00:00,28.73,2
29-06-2015 00:00,28.723,2
30-06-2015 00:00,24.141,2
01-07-2015 00:00,23.864,2
02-07-2015 00:00,27.443,2
03-07-2015 00:00,22.301,2
04-07-2015 00:00,18.704,2
05-07-2015 00:00,18.695,2
06-07-2015 00:00,19.316,2
07-07-2015 00:00,16.253,2
08-07-2015 00:00,18.589,2
09-07-2015 00:00,14.818,2
10-07-2015 00:00,11.716,2
11-07-2015 00:00,15.707,2
12-07-2015 00:00,16.96,2
13-07-2015 00:00,16.691,2
14-07-2015 00:00,16.286,2
15-07-2015 00:00,12.512,2
16-07-2015 00:00,10.487,2
17-07-2015 00:00,12.261,2
18-07-2015 00:00,9.979,2
19-07-2015 00:00,8.041,2
20-07-2015 00:00,9.928,2
