Dato (DK normaltid),Vandf¿ring D¿gnmiddel (DMP) (l/s),ks mrk.
01-01-2001 00:00,627.578,2
02-01-2001 00:00,1097.241,2
03-01-2001 00:00,1717.767,2
04-01-2001 00:00,2014.603,2
05-01-2001 00:00,2028.114,2
06-01-2001 00:00,2768.182,2
07-01-2001 00:00,2582.42,2
08-01-2001 00:00,1934.573,2
09-01-2001 00:00,1531.507,2
10-01-2001 00:00,1307.712,2
11-01-2001 00:00,1131.683,2
12-01-2001 00:00,1006.188,2
13-01-2001 00:00,909.826,2
14-01-2001 00:00,872.471,2
15-01-2001 00:00,831.087,2
16-01-2001 00:00,792.432,2
17-01-2001 00:00,754.781,2
18-01-2001 00:00,725.088,2
19-01-2001 00:00,705.6,2
20-01-2001 00:00,686.588,2
21-01-2001 00:00,669.659,2
22-01-2001 00:00,664.658,2
23-01-2001 00:00,668.344,2
24-01-2001 00:00,829.05,2
25-01-2001 00:00,1016.424,2
26-01-2001 00:00,1267.862,2
27-01-2001 00:00,1431.657,2
28-01-2001 00:00,1229.929,2
29-01-2001 00:00,1042.29,2
30-01-2001 00:00,951.455,2
31-01-2001 00:00,896.553,2
01-02-2001 00:00,862.918,2
02-02-2001 00:00,805.009,2
03-02-2001 00:00,722.433,2
04-02-2001 00:00,683.202,2
05-02-2001 00:00,663.082,2
06-02-2001 00:00,734.084,2
07-02-2001 00:00,1108.809,2
08-02-2001 00:00,1446.003,2
09-02-2001 00:00,1706.62,2
10-02-2001 00:00,1242.335,2
11-02-2001 00:00,1503.258,2
12-02-2001 00:00,4455.352,2
13-02-2001 00:00,4824.495,2
14-02-2001 00:00,4191.36,2
15-02-2001 00:00,3247.072,2
16-02-2001 00:00,2442.312,2
17-02-2001 00:00,1845.905,2
18-02-2001 00:00,1632.094,2
19-02-2001 00:00,1488.231,2
20-02-2001 00:00,1375.358,2
21-02-2001 00:00,1270.058,2
22-02-2001 00:00,1180.837,2
23-02-2001 00:00,1057.548,2
24-02-2001 00:00,943.723,2
25-02-2001 00:00,915.345,2
26-02-2001 00:00,890.323,2
27-02-2001 00:00,854.203,2
28-02-2001 00:00,827.736,2
01-03-2001 00:00,825.238,2
02-03-2001 00:00,809.454,2
03-03-2001 00:00,779.56,2
04-03-2001 00:00,713.003,2
05-03-2001 00:00,642.315,2
06-03-2001 00:00,612.242,2
07-03-2001 00:00,599.731,2
08-03-2001 00:00,656.626,2
09-03-2001 00:00,1071.161,2
10-03-2001 00:00,1526.652,2
11-03-2001 00:00,1414.349,2
12-03-2001 00:00,1446.907,2
13-03-2001 00:00,1391.415,2
14-03-2001 00:00,1217.527,2
15-03-2001 00:00,1125.596,2
16-03-2001 00:00,1305.677,2
17-03-2001 00:00,1330.239,2
18-03-2001 00:00,1176.223,2
19-03-2001 00:00,1046.12,2
20-03-2001 00:00,925.319,2
21-03-2001 00:00,872.657,2
22-03-2001 00:00,827.921,2
23-03-2001 00:00,776.098,2
24-03-2001 00:00,745.823,2
25-03-2001 00:00,716.104,2
26-03-2001 00:00,675.302,2
27-03-2001 00:00,646.821,2
28-03-2001 00:00,637.158,2
29-03-2001 00:00,638.159,2
30-03-2001 00:00,641.949,2
31-03-2001 00:00,622.584,2
01-04-2001 00:00,618.834,2
02-04-2001 00:00,610.274,2
03-04-2001 00:00,613.102,2
04-04-2001 00:00,603.294,2
05-04-2001 00:00,641.288,2
06-04-2001 00:00,615.561,2
07-04-2001 00:00,624.346,2
08-04-2001 00:00,685.053,2
09-04-2001 00:00,633.931,2
10-04-2001 00:00,611.4,2
11-04-2001 00:00,581.954,2
12-04-2001 00:00,569.514,2
13-04-2001 00:00,552.55,2
14-04-2001 00:00,543.09,2
15-04-2001 00:00,542.053,2
16-04-2001 00:00,524.225,2
17-04-2001 00:00,517.006,2
18-04-2001 00:00,542.962,2
19-04-2001 00:00,578.173,2
20-04-2001 00:00,548.242,2
21-04-2001 00:00,547.518,2
22-04-2001 00:00,532.886,2
23-04-2001 00:00,662.19,2
24-04-2001 00:00,950.761,2
25-04-2001 00:00,765.99,2
26-04-2001 00:00,996.812,2
27-04-2001 00:00,967.847,2
28-04-2001 00:00,998.752,2
29-04-2001 00:00,974.271,2
30-04-2001 00:00,927.645,2
01-05-2001 00:00,846.314,2
02-05-2001 00:00,760.118,2
03-05-2001 00:00,721.887,2
04-05-2001 00:00,718.944,2
05-05-2001 00:00,669,2
06-05-2001 00:00,631.214,2
07-05-2001 00:00,596.607,2
08-05-2001 00:00,569.142,2
09-05-2001 00:00,542.845,2
10-05-2001 00:00,524.439,2
11-05-2001 00:00,510.035,2
12-05-2001 00:00,495.572,2
13-05-2001 00:00,484.068,2
14-05-2001 00:00,466.351,2
15-05-2001 00:00,458.425,2
16-05-2001 00:00,503.504,2
17-05-2001 00:00,550.072,2
18-05-2001 00:00,557.165,2
19-05-2001 00:00,526.744,2
20-05-2001 00:00,478.101,2
21-05-2001 00:00,455.448,2
22-05-2001 00:00,439.652,2
23-05-2001 00:00,431.576,2
24-05-2001 00:00,434.894,2
25-05-2001 00:00,423.677,2
26-05-2001 00:00,412.234,2
27-05-2001 00:00,401.776,2
28-05-2001 00:00,392.595,2
29-05-2001 00:00,399.001,2
30-05-2001 00:00,444.372,2
31-05-2001 00:00,447.064,2
01-06-2001 00:00,417.267,2
02-06-2001 00:00,433.795,2
03-06-2001 00:00,564.625,2
04-06-2001 00:00,592.829,2
05-06-2001 00:00,491.387,2
06-06-2001 00:00,452.703,2
07-06-2001 00:00,486.878,2
08-06-2001 00:00,527.818,2
09-06-2001 00:00,457.825,2
10-06-2001 00:00,413.664,2
11-06-2001 00:00,378.584,2
12-06-2001 00:00,364.196,2
13-06-2001 00:00,344.779,2
14-06-2001 00:00,330.43,2
15-06-2001 00:00,317.836,2
16-06-2001 00:00,363.546,2
17-06-2001 00:00,409.442,2
18-06-2001 00:00,364.569,2
19-06-2001 00:00,338.911,2
20-06-2001 00:00,326.999,2
21-06-2001 00:00,318.74,2
22-06-2001 00:00,307.964,2
23-06-2001 00:00,304.077,2
24-06-2001 00:00,288.267,2
25-06-2001 00:00,277.013,2
26-06-2001 00:00,275.056,2
27-06-2001 00:00,272.916,2
28-06-2001 00:00,265.027,2
29-06-2001 00:00,262.079,2
30-06-2001 00:00,256.554,2
01-07-2001 00:00,274.782,2
02-07-2001 00:00,261.198,2
03-07-2001 00:00,249.599,2
04-07-2001 00:00,246.114,2
05-07-2001 00:00,245.692,2
06-07-2001 00:00,242.034,2
07-07-2001 00:00,240.364,2
08-07-2001 00:00,237.693,2
09-07-2001 00:00,235.541,2
10-07-2001 00:00,240.028,2
11-07-2001 00:00,247.43,2
12-07-2001 00:00,251.801,2
13-07-2001 00:00,250.825,2
14-07-2001 00:00,248.813,2
15-07-2001 00:00,246.198,2
16-07-2001 00:00,243.202,2
17-07-2001 00:00,240.441,2
18-07-2001 00:00,241.095,2
19-07-2001 00:00,235.118,2
20-07-2001 00:00,233.025,2
21-07-2001 00:00,235.248,2
22-07-2001 00:00,229.901,2
23-07-2001 00:00,225.857,2
24-07-2001 00:00,223.608,2
25-07-2001 00:00,220.312,2
26-07-2001 00:00,217.705,2
27-07-2001 00:00,215.911,2
28-07-2001 00:00,215.15,2
29-07-2001 00:00,214.987,2
30-07-2001 00:00,213.813,2
31-07-2001 00:00,211.197,2
01-08-2001 00:00,207.173,2
02-08-2001 00:00,205.873,2
03-08-2001 00:00,208.016,2
04-08-2001 00:00,217.338,2
05-08-2001 00:00,218.482,2
06-08-2001 00:00,214.439,2
07-08-2001 00:00,220.601,2
08-08-2001 00:00,225.409,2
09-08-2001 00:00,224.982,2
10-08-2001 00:00,214.624,2
11-08-2001 00:00,208.569,2
12-08-2001 00:00,215.08,2
13-08-2001 00:00,255.48,2
14-08-2001 00:00,256.149,2
15-08-2001 00:00,230.068,2
16-08-2001 00:00,220.212,2
17-08-2001 00:00,213.657,2
18-08-2001 00:00,211.253,2
19-08-2001 00:00,213.483,2
20-08-2001 00:00,221.553,2
21-08-2001 00:00,227.096,2
22-08-2001 00:00,217.08,2
23-08-2001 00:00,211.975,2
24-08-2001 00:00,220.772,2
25-08-2001 00:00,227.048,2
26-08-2001 00:00,220.598,2
27-08-2001 00:00,241.235,2
28-08-2001 00:00,253.895,2
29-08-2001 00:00,233.572,2
30-08-2001 00:00,225.33,2
31-08-2001 00:00,220.27,2
01-09-2001 00:00,219.417,2
02-09-2001 00:00,218.304,2
03-09-2001 00:00,221.415,2
04-09-2001 00:00,226.91,2
05-09-2001 00:00,225.222,2
06-09-2001 00:00,219.987,2
07-09-2001 00:00,226.371,2
08-09-2001 00:00,236.802,2
09-09-2001 00:00,264.492,2
10-09-2001 00:00,296.252,2
11-09-2001 00:00,290.796,2
12-09-2001 00:00,311.137,2
13-09-2001 00:00,312.135,2
14-09-2001 00:00,312.762,2
15-09-2001 00:00,314.67,2
16-09-2001 00:00,298.348,2
