﻿Stedtype;StedID;Stedtekst;GeoZone;x-koordinat;y-koordinat;Kommune;Region;Medie;Vandområde;Dato;Måling nr;Undersøgelsestype;Teknisk anvisning;Dataejer;Link;Målested navn;Målested GeoZone;Målested, x-koordinat;Målested, y-koordinat;Feltmåling nr;Startdato;Dybde;Parameter;Resultat-attribut;Resultat;Enhed;Kvalitetsmærke
Station;49000094;PØLE Å, Ns Alsønderup Enge;32;700057;6208333;Gribskov;Region Hovedstaden;Vandløb;Poel Å;04-01-2001;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/4b4e7754-77c4-4a99-ab97-a666dd922179;FRB1348;32;700057;6208333;1;04-01-2001 11:25:00 +01:00;;Temperatur; =;4,1;grader C;3
Station;49000094;PØLE Å, Ns Alsønderup Enge;32;700057;6208333;Gribskov;Region Hovedstaden;Vandløb;Poel Å;18-01-2001;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/9223e4fa-7357-47ec-8753-c2bbc62d33d2;FRB1348;32;700057;6208333;1;18-01-2001 10:45:00 +01:00;;Temperatur; =;1,4;grader C;3
Station;49000094;PØLE Å, Ns Alsønderup Enge;32;700057;6208333;Gribskov;Region Hovedstaden;Vandløb;Poel Å;08-02-2001;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/f6249fe6-52e4-400f-919c-7da120e8f2d9;FRB1348;32;700057;6208333;1;08-02-2001 11:20:00 +01:00;;Temperatur; =;2,7;grader C;3
Station;49000094;PØLE Å, Ns Alsønderup Enge;32;700057;6208333;Gribskov;Region Hovedstaden;Vandløb;Poel Å;15-03-2001;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/8e018930-4fcf-450e-b70c-c2c4e3620333;FRB1348;32;700057;6208333;1;15-03-2001 11:00:00 +01:00;;Temperatur; =;4,3;grader C;3
Station;49000094;PØLE Å, Ns Alsønderup Enge;32;700057;6208333;Gribskov;Region Hovedstaden;Vandløb;Poel Å;11-04-2001;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/6ddf91fa-6c75-434a-8355-161992e99657;FRB1348;32;700057;6208333;1;11-04-2001 10:50:00 +02:00;;Oxygen indhold; =;16,07;mg/l;3
Station;49000094;PØLE Å, Ns Alsønderup Enge;32;700057;6208333;Gribskov;Region Hovedstaden;Vandløb;Poel Å;11-04-2001;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/6ddf91fa-6c75-434a-8355-161992e99657;FRB1348;32;700057;6208333;1;11-04-2001 10:50:00 +02:00;;Temperatur; =;9,3;grader C;3
Station;49000094;PØLE Å, Ns Alsønderup Enge;32;700057;6208333;Gribskov;Region Hovedstaden;Vandløb;Poel Å;26-04-2001;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/4eaf1982-5553-4e47-b396-a9aabcb64618;FRB1348;32;700057;6208333;1;26-04-2001 10:55:00 +02:00;;Oxygen indhold; =;13,31;mg/l;3
Station;49000094;PØLE Å, Ns Alsønderup Enge;32;700057;6208333;Gribskov;Region Hovedstaden;Vandløb;Poel Å;23-05-2001;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/238f67b6-d8b0-4ccc-88c8-0c19fc74f7b1;FRB1348;32;700057;6208333;1;23-05-2001 10:50:00 +02:00;;Oxygen indhold; =;12,61;mg/l;3
Station;49000094;PØLE Å, Ns Alsønderup Enge;32;700057;6208333;Gribskov;Region Hovedstaden;Vandløb;Poel Å;21-06-2001;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/181accd5-460b-4dee-a1bc-dc93f2b0023e;FRB1348;32;700057;6208333;1;21-06-2001 11:20:00 +02:00;;Temperatur; =;19,2;grader C;3
Station;49000094;PØLE Å, Ns Alsønderup Enge;32;700057;6208333;Gribskov;Region Hovedstaden;Vandløb;Poel Å;05-07-2001;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/e189cc9b-2fe3-4ca0-b97d-a8367cee8fc7;FRB1348;32;700057;6208333;1;05-07-2001 11:35:00 +02:00;;Temperatur; =;24,6;grader C;2
Station;49000094;PØLE Å, Ns Alsønderup Enge;32;700057;6208333;Gribskov;Region Hovedstaden;Vandløb;Poel Å;19-07-2001;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d94144f3-0d21-4f4a-9ef2-92e3a0f9f01f;FRB1348;32;700057;6208333;1;19-07-2001 11:35:00 +02:00;;Oxygen indhold; =;9,5;mg/l;2
Station;49000094;PØLE Å, Ns Alsønderup Enge;32;700057;6208333;Gribskov;Region Hovedstaden;Vandløb;Poel Å;13-09-2001;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7a627b55-f2f8-41c7-a0d2-73461b12b196;FRB1348;32;700057;6208333;1;13-09-2001 11:10:00 +02:00;;Temperatur; =;13,8;grader C;3
Station;49000094;PØLE Å, Ns Alsønderup Enge;32;700057;6208333;Gribskov;Region Hovedstaden;Vandløb;Poel Å;11-10-2001;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/2ab0c7c6-7266-48a0-be1a-c42cbb47b112;FRB1348;32;700057;6208333;1;11-10-2001 11:00:00 +02:00;;Temperatur; =;12,1;grader C;3
Station;49000094;PØLE Å, Ns Alsønderup Enge;32;700057;6208333;Gribskov;Region Hovedstaden;Vandløb;Poel Å;25-10-2001;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/705e1a98-884c-4158-a6ea-6b97c4545666;FRB1348;32;700057;6208333;1;25-10-2001 11:20:00 +02:00;;Temperatur; =;8;grader C;3
