﻿Stedtype;StedID;Stedtekst;Referencer;GeoZone;x-koordinat;y-koordinat;Kommune;Region;Medie;Vandområde;Dato;Måling nr;Undersøgelsestype;Teknisk anvisning;Dataejer;Link;Målested navn;Målested GeoZone;Målested, x-koordinat;Målested, y-koordinat;Prøvetagning;Prøve;Prøvetype;Delprøve;Analysefraktion;CASnr;ScKode;Stofparameter;Resultat-attribut;Resultat;Enhed;Detektionsgrænse LD;Kvantifikationsgrænse LQ;Kvalitetsmærke
Station;49000094;PØLE Å, Ns Alsønderup Enge;FRB1348, 1348, 490110, NST1348;32;700057;6208333;Gribskov;Region Hovedstaden;Vandløb;Poel Å;04-01-2001;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/689c2f4f-d40c-4525-933f-32753de62a2b;FRB1348;32;700057;6208333;1;1;Enkeltprøve;1;Total;;253;Nitrogen,total N; =;4,3;mg/l;9999999;;3
Station;49000094;PØLE Å, Ns Alsønderup Enge;FRB1348, 1348, 490110, NST1348;32;700057;6208333;Gribskov;Region Hovedstaden;Vandløb;Poel Å;18-01-2001;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/e3fdc9df-2a62-457c-a46b-623ba9dc5bce;FRB1348;32;700057;6208333;1;1;Enkeltprøve;1;Total;;241;Ammoniak+ammonium-N; =;0,68;mg/l;9999999;;3
Station;49000094;PØLE Å, Ns Alsønderup Enge;FRB1348, 1348, 490110, NST1348;32;700057;6208333;Gribskov;Region Hovedstaden;Vandløb;Poel Å;18-01-2001;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/e3fdc9df-2a62-457c-a46b-623ba9dc5bce;FRB1348;32;700057;6208333;1;1;Enkeltprøve;1;Total;;253;Nitrogen,total N; =;5,16;mg/l;9999999;;3
Station;49000094;PØLE Å, Ns Alsønderup Enge;FRB1348, 1348, 490110, NST1348;32;700057;6208333;Gribskov;Region Hovedstaden;Vandløb;Poel Å;01-02-2001;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/57807ea1-152b-4b6f-89f8-b02a947fff3f;FRB1348;32;700057;6208333;1;1;Enkeltprøve;1;Total;;241;Ammoniak+ammonium-N; =;0,27;mg/l;9999999;;3
Station;49000094;PØLE Å, Ns Alsønderup Enge;FRB1348, 1348, 490110, NST1348;32;700057;6208333;Gribskov;Region Hovedstaden;Vandløb;Poel Å;08-02-2001;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/55de03c0-854f-496d-83f4-eca8b77d8660;FRB1348;32;700057;6208333;1;1;Enkeltprøve;1;Opløst - filtrat fra filtrering;;312;Jern; =;0,35;mg/l;9999999;;3
Station;49000094;PØLE Å, Ns Alsønderup Enge;FRB1348, 1348, 490110, NST1348;32;700057;6208333;Gribskov;Region Hovedstaden;Vandløb;Poel Å;15-02-2001;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/acf638c5-ed4a-4b3c-b94d-a58da13ee2f7;FRB1348;32;700057;6208333;1;1;Enkeltprøve;1;Opløst - filtrat fra filtrering;;256;Ortho-phosphat-P; =;0,079;mg/l;9999999;;3
Station;49000094;PØLE Å, Ns Alsønderup Enge;FRB1348, 1348, 490110, NST1348;32;700057;6208333;Gribskov;Region Hovedstaden;Vandløb;Poel Å;08-03-2001;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/afeeefe1-1ed0-435e-b670-2c5bee748fcf;FRB1348;32;700057;6208333;1;1;Enkeltprøve;1;Total;;435;BOD ufortyndet; =;3;mg/l;9999999;;3
Station;49000094;PØLE Å, Ns Alsønderup Enge;FRB1348, 1348, 490110, NST1348;32;700057;6208333;Gribskov;Region Hovedstaden;Vandløb;Poel Å;08-03-2001;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/afeeefe1-1ed0-435e-b670-2c5bee748fcf;FRB1348;32;700057;6208333;1;1;Enkeltprøve;1;Opløst - filtrat fra filtrering;;261;Phosphor, total-P; =;0,038;mg/l;9999999;;3
Station;49000094;PØLE Å, Ns Alsønderup Enge;FRB1348, 1348, 490110, NST1348;32;700057;6208333;Gribskov;Region Hovedstaden;Vandløb;Poel Å;29-03-2001;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/63203f34-7ebd-4c41-af4e-b0f277f3df3f;FRB1348;32;700057;6208333;1;1;Enkeltprøve;1;Opløst - filtrat fra filtrering;;256;Ortho-phosphat-P; =;0,02;mg/l;9999999;;3
Station;49000094;PØLE Å, Ns Alsønderup Enge;FRB1348, 1348, 490110, NST1348;32;700057;6208333;Gribskov;Region Hovedstaden;Vandløb;Poel Å;29-03-2001;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/63203f34-7ebd-4c41-af4e-b0f277f3df3f;FRB1348;32;700057;6208333;1;1;Enkeltprøve;1;Opløst - filtrat fra filtrering;;251;Nitrit+nitrat-N; =;1,9;mg/l;9999999;;3
