Stedtype,StedID,Stedtekst,Referencer,GeoZone,x-koordinat,y-koordinat,Kommune,Region,Medie,Vandområde,Dato,Måling nr,Undersøgelsestype,Teknisk anvisning,Dataejer,Link,Målested navn,Målested GeoZone,"Målested, x-koordinat","Målested, y-koordinat",Prøvetagning,Prøve,Prøvetype,Delprøve,Analysefraktion,CASnr,ScKode,Stofparameter,Resultat-attribut,Resultat,Enhed,Detektionsgrænse LD,Kvantifikationsgrænse LQ,Kvalitetsmærke
Station,31000021,"GRINDSTED Å, VED EG BRO","NST0002-51978, 2-51978, 310327, RIB0002-51978, 31.14",32,487984,6179470,Billund,Region Syddanmark,Vandløb,Vardeå,7/5/19,1,"Vandkemi, Vandløb",Ja,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/23634280-90ba-4b46-9db6-c561a31714d2,RIB0002-51978,32,487986,6179470,1,1,Enkeltprøve,1,Opløst - filtrat fra filtrering,,241,Ammoniak+ammonium-N, =,"0,11",mg/l,9999999,,3
Station,31000021,"GRINDSTED Å, VED EG BRO","NST0002-51978, 2-51978, 310327, RIB0002-51978, 31.14",32,487984,6179470,Billund,Region Syddanmark,Vandløb,Vardeå,1/8/89,1,"Vandkemi, Vandløb",Ja,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/f615faf1-c6f5-4c36-9a80-60890a775a4d,RIB0002-51978,32,487986,6179470,1,1,Enkeltprøve,1,Total,,261,"Phosphor, total-P", =,"0,13200000626966357",mg/l,9999999,,2
Station,31000021,"GRINDSTED Å, VED EG BRO","NST0002-51978, 2-51978, 310327, RIB0002-51978, 31.14",32,487984,6179470,Billund,Region Syddanmark,Vandløb,Vardeå,5/7/17,1,"Vandkemi, Vandløb",Ja,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/16ed7a8b-9bb9-48da-99e3-2054d6966941,RIB0002-51978,32,487986,6179470,1,1,Enkeltprøve,1,Total,,40,"Glødetab,susp.stof", =,2,mg/l,9999999,,3
Station,31000021,"GRINDSTED Å, VED EG BRO","NST0002-51978, 2-51978, 310327, RIB0002-51978, 31.14",32,487984,6179470,Billund,Region Syddanmark,Vandløb,Vardeå,1/5/91,1,"Vandkemi, Vandløb",Ja,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/bc66967e-5fd3-4fc1-b411-0c9dad9d291e,RIB0002-51978,32,487986,6179470,1,1,Enkeltprøve,1,Opløst - filtrat fra filtrering,,256,Ortho-phosphat-P, =,"0,03800000180490315",mg/l,9999999,,2
Station,31000021,"GRINDSTED Å, VED EG BRO","NST0002-51978, 2-51978, 310327, RIB0002-51978, 31.14",32,487984,6179470,Billund,Region Syddanmark,Vandløb,Vardeå,4/12/19,1,"Vandkemi, Vandløb",Ja,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/1bb75ec3-a3ae-492d-bc09-7718a9da146b,RIB0002-51978,32,487986,6179470,1,1,Enkeltprøve,1,Opløst - filtrat fra filtrering,,241,Ammoniak+ammonium-N, =,"0,14",mg/l,9999999,,3
Station,31000021,"GRINDSTED Å, VED EG BRO","NST0002-51978, 2-51978, 310327, RIB0002-51978, 31.14",32,487984,6179470,Billund,Region Syddanmark,Vandløb,Vardeå,1/8/89,1,"Vandkemi, Vandløb",Ja,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/f615faf1-c6f5-4c36-9a80-60890a775a4d,RIB0002-51978,32,487986,6179470,1,1,Enkeltprøve,1,Total,,253,"Nitrogen,total N", =,"5,100,000,242,237,000",mg/l,9999999,,2
Station,31000021,"GRINDSTED Å, VED EG BRO","NST0002-51978, 2-51978, 310327, RIB0002-51978, 31.14",32,487984,6179470,Billund,Region Syddanmark,Vandløb,Vardeå,8/6/20,1,"Vandkemi, Vandløb",Ja,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/1ec56c31-d780-45d3-8dfc-957938ad1cdb,RIB0002-51978,32,487986,6179470,1,1,Enkeltprøve,1,Opløst - filtrat fra filtrering,,241,Ammoniak+ammonium-N, =,"0,14",mg/l,9999999,,3
Station,31000021,"GRINDSTED Å, VED EG BRO","NST0002-51978, 2-51978, 310327, RIB0002-51978, 31.14",32,487984,6179470,Billund,Region Syddanmark,Vandløb,Vardeå,17-10-1995,1,"Vandkemi, Vandløb",Ja,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/914f9290-4b08-4068-aa7b-67f8f0047761,RIB0002-51978,32,487986,6179470,1,1,Enkeltprøve,1,Opløst - filtrat fra filtrering,,256,Ortho-phosphat-P, =,"0,00800000037997961",mg/l,9999999,,2
Station,31000021,"GRINDSTED Å, VED EG BRO","NST0002-51978, 2-51978, 310327, RIB0002-51978, 31.14",32,487984,6179470,Billund,Region Syddanmark,Vandløb,Vardeå,1/6/95,1,"Vandkemi, Vandløb",Ja,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/7d4b50ba-19d7-47a5-b5ae-128295ad21d1,RIB0002-51978,32,487986,6179470,1,1,Enkeltprøve,1,Opløst - filtrat fra filtrering,,256,Ortho-phosphat-P, =,"0,02200000104494393",mg/l,9999999,,2
Station,31000021,"GRINDSTED Å, VED EG BRO","NST0002-51978, 2-51978, 310327, RIB0002-51978, 31.14",32,487984,6179470,Billund,Region Syddanmark,Vandløb,Vardeå,16-10-1982,1,"Vandkemi, Vandløb",Nej,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/6e12c019-2f45-4da6-b3ab-d67320fce0f5,RIB0002-51978,32,487986,6179470,1,1,Enkeltprøve,1,Total,,50,Oxygen indhold, =,"9,1",mg/l,9999999,,2
