Dato (DK normaltid),Vandf¿ring D¿gnmiddel (DMP) (l/s),ks mrk.
01-01-1989 00:00,72.673,2
02-01-1989 00:00,69.353,2
03-01-1989 00:00,65.075,2
04-01-1989 00:00,63.043,2
05-01-1989 00:00,62.695,2
06-01-1989 00:00,60.614,2
07-01-1989 00:00,58.43,2
08-01-1989 00:00,58.58,2
09-01-1989 00:00,58.85,2
10-01-1989 00:00,65.014,2
11-01-1989 00:00,60.439,2
12-01-1989 00:00,59.039,2
13-01-1989 00:00,59.703,2
14-01-1989 00:00,62.841,2
15-01-1989 00:00,62.498,2
16-01-1989 00:00,58.511,2
17-01-1989 00:00,58.107,2
18-01-1989 00:00,56.014,2
19-01-1989 00:00,55.081,2
20-01-1989 00:00,54.462,2
21-01-1989 00:00,54.538,2
22-01-1989 00:00,53.952,2
23-01-1989 00:00,55.376,2
24-01-1989 00:00,55.7,2
25-01-1989 00:00,53.964,2
26-01-1989 00:00,53.052,2
27-01-1989 00:00,51.951,2
28-01-1989 00:00,51.05,2
29-01-1989 00:00,49.973,2
30-01-1989 00:00,50.007,2
31-01-1989 00:00,47.866,2
01-02-1989 00:00,47.189,2
02-02-1989 00:00,46.494,2
03-02-1989 00:00,46.219,2
04-02-1989 00:00,45.338,2
05-02-1989 00:00,49.197,2
06-02-1989 00:00,47.68,2
07-02-1989 00:00,45.125,2
08-02-1989 00:00,44.032,2
09-02-1989 00:00,42.918,2
10-02-1989 00:00,41.726,2
11-02-1989 00:00,40.248,2
12-02-1989 00:00,42.254,2
13-02-1989 00:00,40.475,2
14-02-1989 00:00,47.142,2
15-02-1989 00:00,52.372,2
16-02-1989 00:00,55.667,2
17-02-1989 00:00,47.214,2
18-02-1989 00:00,50.556,2
19-02-1989 00:00,56.097,2
20-02-1989 00:00,52.099,2
21-02-1989 00:00,50.156,2
22-02-1989 00:00,49.997,2
23-02-1989 00:00,53.132,2
24-02-1989 00:00,50.004,2
25-02-1989 00:00,49.062,2
26-02-1989 00:00,57.615,2
27-02-1989 00:00,50.706,2
28-02-1989 00:00,49.747,2
01-03-1989 00:00,62.227,2
02-03-1989 00:00,59.082,2
03-03-1989 00:00,54.58,2
04-03-1989 00:00,51.504,2
05-03-1989 00:00,49.041,2
06-03-1989 00:00,47.74,2
07-03-1989 00:00,46.977,2
08-03-1989 00:00,45.558,2
09-03-1989 00:00,42.843,2
10-03-1989 00:00,44.291,2
11-03-1989 00:00,47.943,2
12-03-1989 00:00,45.821,2
