Vandportalen - www.vandportalen.dk
Lokalitet:;49000061 Æbelholt Å, Søsterbro Mølle
Tidsserie:;Vandstand, Døgnmiddel (DMP)
Drives af Miljøstyrelsen
Dataperiode:;01-01-1917 00:00 - 03-11-2024 00:59 ( UTC +01:00:00 )
Vandstandsskala nulpunkt kote:;0 m DVR90
ks mrk.:;0= ikke-korrigerede data (rådata)
;1= data udtyndet for outliers
;2= kvalitetskontrolleret data
Udtræksdato: ;29-10-2024 12:36

WSP og dataleverandører til Vandportalen kan ikke drages til ansvar for målingernes rigtighed.

Dato (DK normaltid);Vandstand, Døgnmiddel (DMP) (m DVR90);ks mrk.
23-05-2019 00:00;3.524;2
24-05-2019 00:00;3.519;2
25-05-2019 00:00;3.516;2
26-05-2019 00:00;3.518;2
27-05-2019 00:00;3.520;2
28-05-2019 00:00;3.512;2
29-05-2019 00:00;3.506;2
30-05-2019 00:00;3.509;2
31-05-2019 00:00;3.522;2
01-06-2019 00:00;3.508;2
02-06-2019 00:00;3.501;2
03-06-2019 00:00;3.499;2
04-06-2019 00:00;3.488;2
05-06-2019 00:00;3.478;2
06-06-2019 00:00;3.476;2
07-06-2019 00:00;3.482;2
08-06-2019 00:00;3.509;2
09-06-2019 00:00;3.495;2
10-06-2019 00:00;3.485;2
11-06-2019 00:00;3.470;2
12-06-2019 00:00;3.545;2
13-06-2019 00:00;3.571;2
14-06-2019 00:00;3.534;2
15-06-2019 00:00;3.532;2
16-06-2019 00:00;3.519;2
17-06-2019 00:00;3.503;2
18-06-2019 00:00;3.492;2
19-06-2019 00:00;3.488;2
20-06-2019 00:00;3.492;2
21-06-2019 00:00;3.483;2
22-06-2019 00:00;3.477;2
23-06-2019 00:00;3.474;2
24-06-2019 00:00;3.473;2
25-06-2019 00:00;3.472;2
26-06-2019 00:00;3.467;2
27-06-2019 00:00;3.466;2
28-06-2019 00:00;3.456;2
29-06-2019 00:00;3.458;2
30-06-2019 00:00;3.450;2
01-07-2019 00:00;3.455;2
02-07-2019 00:00;3.452;2
03-07-2019 00:00;3.455;2
04-07-2019 00:00;3.476;2
05-07-2019 00:00;3.479;2
06-07-2019 00:00;3.466;2
07-07-2019 00:00;3.471;2
08-07-2019 00:00;3.516;2
09-07-2019 00:00;3.483;2
10-07-2019 00:00;3.474;2
11-07-2019 00:00;3.469;2
12-07-2019 00:00;3.465;2
13-07-2019 00:00;3.462;2
14-07-2019 00:00;3.461;2
15-07-2019 00:00;3.462;2
16-07-2019 00:00;3.460;2
17-07-2019 00:00;3.457;2
18-07-2019 00:00;3.454;2
19-07-2019 00:00;3.465;2
20-07-2019 00:00;3.463;2
21-07-2019 00:00;3.455;2
22-07-2019 00:00;3.463;2
23-07-2019 00:00;3.463;2
24-07-2019 00:00;3.452;2
25-07-2019 00:00;3.447;2
26-07-2019 00:00;3.445;2
27-07-2019 00:00;3.443;2
