﻿Stedtype;StedID;Stedtekst;GeoZone;x-koordinat;y-koordinat;Kommune;Region;Medie;Vandområde;Dato;Måling nr;Undersøgelsestype;Teknisk anvisning;Dataejer;Link;Målested navn;Målested GeoZone;Målested, x-koordinat;Målested, y-koordinat;Feltmåling nr;Startdato;Dybde;Parameter;Resultat-attribut;Resultat;Enhed;Kvalitetsmærke
Station;49000061;ÆBELHOLT Å, SØSTERBRO MØLLE;32;699103;6204768;Hillerød;Region Hovedstaden;Vandløb;Poel Å;25-01-1989;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/1362a53e-5d8b-4f9d-89af-45dd8810e7b3;FRB1324;32;699103;6204768;1;25-01-1989 09:10:00 +01:00;;Temperatur; =;5,4;grader C;3
Station;49000061;ÆBELHOLT Å, SØSTERBRO MØLLE;32;699103;6204768;Hillerød;Region Hovedstaden;Vandløb;Poel Å;08-03-1989;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/0b2baf44-be94-47c5-8183-b743cb8509e3;FRB1324;32;699103;6204768;1;08-03-1989 09:00:00 +01:00;;Oxygen indhold; =;10,9;mg/l;3
Station;49000061;ÆBELHOLT Å, SØSTERBRO MØLLE;32;699103;6204768;Hillerød;Region Hovedstaden;Vandløb;Poel Å;29-03-1989;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/f6072f50-5158-49c3-8481-c8355b753f52;FRB1324;32;699103;6204768;1;29-03-1989 09:00:00 +02:00;;Oxygen indhold; =;11,2;mg/l;3
Station;49000061;ÆBELHOLT Å, SØSTERBRO MØLLE;32;699103;6204768;Hillerød;Region Hovedstaden;Vandløb;Poel Å;29-03-1989;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/f6072f50-5158-49c3-8481-c8355b753f52;FRB1324;32;699103;6204768;1;29-03-1989 09:00:00 +02:00;;Temperatur; =;5,9;grader C;3
Station;49000061;ÆBELHOLT Å, SØSTERBRO MØLLE;32;699103;6204768;Hillerød;Region Hovedstaden;Vandløb;Poel Å;05-04-1989;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d6f3e76b-9c42-4606-97c8-53ca25ac3945;FRB1324;32;699103;6204768;1;05-04-1989 09:05:00 +02:00;;Oxygen indhold; =;13,3;mg/l;3
Station;49000061;ÆBELHOLT Å, SØSTERBRO MØLLE;32;699103;6204768;Hillerød;Region Hovedstaden;Vandløb;Poel Å;26-04-1989;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c188e6bb-4ba7-4b65-8e28-0d73f77ac0c4;FRB1324;32;699103;6204768;1;26-04-1989 08:55:00 +02:00;;Temperatur; =;8,1;grader C;3
Station;49000061;ÆBELHOLT Å, SØSTERBRO MØLLE;32;699103;6204768;Hillerød;Region Hovedstaden;Vandløb;Poel Å;17-05-1989;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/8f829432-a087-4d39-9587-90cc6884df75;FRB1324;32;699103;6204768;1;17-05-1989 09:20:00 +02:00;;Temperatur; =;11,3;grader C;3
Station;49000061;ÆBELHOLT Å, SØSTERBRO MØLLE;32;699103;6204768;Hillerød;Region Hovedstaden;Vandløb;Poel Å;24-05-1989;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/17be575b-2978-4b51-8475-1d32bca79d2b;FRB1324;32;699103;6204768;1;24-05-1989 09:15:00 +02:00;;Oxygen indhold; =;15,4;mg/l;3
Station;49000061;ÆBELHOLT Å, SØSTERBRO MØLLE;32;699103;6204768;Hillerød;Region Hovedstaden;Vandløb;Poel Å;12-07-1989;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/6ac56ebe-75eb-4188-9331-7cb3ca0f7dab;FRB1324;32;699103;6204768;1;12-07-1989 08:45:00 +02:00;;Temperatur; =;14,4;grader C;3
Station;49000061;ÆBELHOLT Å, SØSTERBRO MØLLE;32;699103;6204768;Hillerød;Region Hovedstaden;Vandløb;Poel Å;19-12-1989;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/95ada02e-a8cf-486a-95b7-eddae5565cf4;FRB1324;32;699103;6204768;1;19-12-1989 09:20:00 +01:00;;Oxygen indhold; =;10,1;mg/l;3
Station;49000061;ÆBELHOLT Å, SØSTERBRO MØLLE;32;699103;6204768;Hillerød;Region Hovedstaden;Vandløb;Poel Å;07-03-1990;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d72250b2-8cff-46d7-a41a-85b1a713039f;FRB1324;32;699103;6204768;1;07-03-1990 09:25:00 +01:00;;Temperatur; =;4,1;grader C;3
Station;49000061;ÆBELHOLT Å, SØSTERBRO MØLLE;32;699103;6204768;Hillerød;Region Hovedstaden;Vandløb;Poel Å;27-06-1990;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/f4024dbe-0e14-4eb9-b9ae-c701ce8a9e95;FRB1324;32;699103;6204768;1;27-06-1990 09:00:00 +02:00;;Oxygen indhold; =;8,4;mg/l;3
