﻿Stedtype;StedID;Stedtekst;Referencer;GeoZone;x-koordinat;y-koordinat;Kommune;Region;Medie;Vandområde;Dato;Måling nr;Undersøgelsestype;Teknisk anvisning;Dataejer;Link;Målested navn;Målested GeoZone;Målested, x-koordinat;Målested, y-koordinat;Prøvetagning;Prøve;Prøvetype;Delprøve;Analysefraktion;CASnr;ScKode;Stofparameter;Resultat-attribut;Resultat;Enhed;Detektionsgrænse LD;Kvantifikationsgrænse LQ;Kvalitetsmærke
Station;49000061;ÆBELHOLT Å, SØSTERBRO MØLLE;FRB1324, NST1324, 49.17, 1324, 490026;32;699103;6204768;Hillerød;Region Hovedstaden;Vandløb;Poel Å;04-03-1985;1;Vandkemi, Vandløb;Nej;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/eadb9589-b845-4aff-9477-dd2540a064a9;FRB1324;32;699103;6204768;1;1;Enkeltprøve;1;Opløst - filtrat fra filtrering;;251;Nitrit+nitrat-N; =;3,96;mg/l;9999999;;3
Station;49000061;ÆBELHOLT Å, SØSTERBRO MØLLE;FRB1324, NST1324, 49.17, 1324, 490026;32;699103;6204768;Hillerød;Region Hovedstaden;Vandløb;Poel Å;01-04-1985;1;Vandkemi, Vandløb;Nej;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/8dd0dda6-2061-4deb-a9be-f21657e30dbb;FRB1324;32;699103;6204768;1;1;Enkeltprøve;1;Total;;253;Nitrogen,total N; =;11;mg/l;9999999;;3
Station;49000061;ÆBELHOLT Å, SØSTERBRO MØLLE;FRB1324, NST1324, 49.17, 1324, 490026;32;699103;6204768;Hillerød;Region Hovedstaden;Vandløb;Poel Å;19-11-1985;1;Vandkemi, Vandløb;Nej;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/549bf172-314a-4447-acb4-e3d7cb46660f;FRB1324;32;699103;6204768;1;1;Enkeltprøve;1;Total;;241;Ammoniak+ammonium-N; =;0,19;mg/l;9999999;;3
Station;49000061;ÆBELHOLT Å, SØSTERBRO MØLLE;FRB1324, NST1324, 49.17, 1324, 490026;32;699103;6204768;Hillerød;Region Hovedstaden;Vandløb;Poel Å;22-01-1986;1;Vandkemi, Vandløb;Nej;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/b41e004b-9bb9-4581-a8e5-e6751cc602a0;FRB1324;32;699103;6204768;1;1;Enkeltprøve;1;Total;;253;Nitrogen,total N; =;10,5;mg/l;9999999;;3
Station;49000061;ÆBELHOLT Å, SØSTERBRO MØLLE;FRB1324, NST1324, 49.17, 1324, 490026;32;699103;6204768;Hillerød;Region Hovedstaden;Vandløb;Poel Å;30-04-1986;1;Vandkemi, Vandløb;Nej;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/1ded036c-5b26-464a-b0f8-b3f3c5ec21a8;FRB1324;32;699103;6204768;1;1;Enkeltprøve;1;Total;;261;Phosphor, total-P; =;0,48;mg/l;9999999;;3
Station;49000061;ÆBELHOLT Å, SØSTERBRO MØLLE;FRB1324, NST1324, 49.17, 1324, 490026;32;699103;6204768;Hillerød;Region Hovedstaden;Vandløb;Poel Å;28-05-1986;1;Vandkemi, Vandløb;Nej;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/a86f1925-5198-4a22-8b56-5864ee6016e3;FRB1324;32;699103;6204768;1;1;Enkeltprøve;1;Total;;253;Nitrogen,total N; =;11,1;mg/l;9999999;;3
Station;49000061;ÆBELHOLT Å, SØSTERBRO MØLLE;FRB1324, NST1324, 49.17, 1324, 490026;32;699103;6204768;Hillerød;Region Hovedstaden;Vandløb;Poel Å;04-01-1989;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/5917d1ec-e49e-474f-8800-51d9793176e1;FRB1324;32;699103;6204768;1;1;Enkeltprøve;1;Ej oplyst;;183;COD, Kemisk iltforbrug; =;30;mg/l;9999999;;3
Station;49000061;ÆBELHOLT Å, SØSTERBRO MØLLE;FRB1324, NST1324, 49.17, 1324, 490026;32;699103;6204768;Hillerød;Region Hovedstaden;Vandløb;Poel Å;18-01-1989;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/6411ba74-49c7-443e-b611-c3029331d882;FRB1324;32;699103;6204768;1;1;Enkeltprøve;1;Total;;261;Phosphor, total-P; =;0,42;mg/l;9999999;;3
Station;49000061;ÆBELHOLT Å, SØSTERBRO MØLLE;FRB1324, NST1324, 49.17, 1324, 490026;32;699103;6204768;Hillerød;Region Hovedstaden;Vandløb;Poel Å;29-03-1989;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/a8a58274-d313-48ee-8ef6-94c0aadc36fd;FRB1324;32;699103;6204768;1;1;Enkeltprøve;1;Ej oplyst;;312;Jern; =;0,69;mg/l;9999999;;3
Station;49000061;ÆBELHOLT Å, SØSTERBRO MØLLE;FRB1324, NST1324, 49.17, 1324, 490026;32;699103;6204768;Hillerød;Region Hovedstaden;Vandløb;Poel Å;05-04-1989;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/960d3ac7-85db-42fb-9994-313ce4aa797e;FRB1324;32;699103;6204768;1;1;Enkeltprøve;1;Ej oplyst;;312;Jern; =;0,58;mg/l;9999999;;3
Station;49000061;ÆBELHOLT Å, SØSTERBRO MØLLE;FRB1324, NST1324, 49.17, 1324, 490026;32;699103;6204768;Hillerød;Region Hovedstaden;Vandløb;Poel Å;26-04-1989;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/cce28d55-66eb-4932-a9ec-f721b7816564;FRB1324;32;699103;6204768;1;1;Enkeltprøve;1;Ej oplyst;;329;Silicium; =;3,6;mg/l;9999999;;2
Station;49000061;ÆBELHOLT Å, SØSTERBRO MØLLE;FRB1324, NST1324, 49.17, 1324, 490026;32;699103;6204768;Hillerød;Region Hovedstaden;Vandløb;Poel Å;10-05-1989;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/ef826d5b-222b-4a26-b8a8-3ca0788fc1c4;FRB1324;32;699103;6204768;1;1;Enkeltprøve;1;Total;;241;Ammoniak+ammonium-N; =;0,37;mg/l;9999999;;3
