datetime,temp,precip,month
2016-01-01T00:00:00Z,0.1,29.9,1
2016-02-01T00:00:00Z,2.4,41.1,2
2016-03-01T00:00:00Z,3.4,51.3,3
2016-04-01T00:00:00Z,6.8,55.7,4
2016-05-01T00:00:00Z,13.5,35.7,5
2016-06-01T00:00:00Z,16.4,49.5,6
2016-07-01T00:00:00Z,17,86.6,7
2016-08-01T00:00:00Z,16.3,51.2,8
2016-09-01T00:00:00Z,16.3,28.4,9
2016-10-01T00:00:00Z,9,63.1,10
2016-11-01T00:00:00Z,4.3,42.7,11
2016-12-01T00:00:00Z,4.5,34.1,12
2018-01-01T00:00:00Z,2.5,49,1
2018-02-01T00:00:00Z,-0.9,11.4,2
2018-03-01T00:00:00Z,0.1,40.6,3
2018-04-01T00:00:00Z,8.5,24.7,4
2018-05-01T00:00:00Z,15.1,26.5,5
2018-06-01T00:00:00Z,17.2,14,6
2018-07-01T00:00:00Z,19.8,11.7,7
2018-08-01T00:00:00Z,18.1,105.4,8
2018-09-01T00:00:00Z,14.4,39.9,9
2018-10-01T00:00:00Z,10.5,43.8,10
2018-11-01T00:00:00Z,5.9,22.9,11
