,Sommer værdier,,Års værdier,,,
,µg l-1,,ton y-1,,,
year,orgN,orgP,input_TN,input_TP,out_TN,out_TP
1989,2178.181818,244,359.2,27.1,93.21600399,14.34257159
1990,3084,319,425.2,27.8,116.6145307,18.22933856
1991,3228.571429,364.4444444,564,23.6,167.6380645,24.57103488
1992,2524.545455,292.7272727,468,11.6,163.9654387,20.0194635
1993,3361.818182,413.6363636,426,10.9,133.2297377,17.30395119
1994,2447,276,516,11.2,273.5677464,31.34078862
1995,1886.363636,217.2727273,374,8.5,164.9842928,18.35890006
1996,1954,190,173,6.5,21.63391814,2.14682546
1997,2201,163.3333333,176,6.1,44.61212401,3.840898273
1998,2534,231.9,485,10.5,194.5372056,14.48148831
1999,1864,151.25,261,10,127.8242936,9.682604013
2000,1747.6,138.15,311,8.9,134.6710181,11.17316426
2001,1942.9,181.9,271,6.7,69.91139889,5.485703719
2002,1530,159.6363636,401,12.5,143.3622362,16.11634097
2003,1768,167.2,246,8.1,83.4011002,8.294394777
2004,2293,210.8,267.9381342,10,100.1414968,8.008457865
2005,2309.018182,210.8636364,187.6492013,7.582013302,106.1479684,6.92997418
2006,1538.918182,140.1818182,239.2100112,6.828212865,110.527919,6.440977413
2007,2423,141.1,273.7443946,10.38691324,265.414658,14.67573115
2008,2691.26,181.62,181.6962472,7.784377237,120.4221728,6.220910261
2009,2093,147.7,156.6817845,6.607896957,103.4309824,5.078331685
2010,1387.996453,111.2222222,237.3568562,8.854771536,115.9916058,5.65340301
2011,1286.327075,130.9,270.8098399,11.03988667,121.249382,7.534850642
2012,1296.65691,94.6,172.3135478,6.804599016,94.7421041,5.020841665
2013,1389.998603,81,151.359271,6.005314376,65.60984815,2.443397176
2014,1431.299872,105.8181818,180.2127296,5.995979099,56.3756249,3.210482172
2015,NA,NA,242.2310827,8.13366759,115.1162937,6.438076762
2016,1356.328403,46.45454545,157.300955,5.864950732,68.03532468,3.486060933
2018,2406,118.2,172.293833,7.047603221,68.46179781,2.732802553
2019,NA,NA,238.4190812,9.863849297,116.04939,5.493674524
2020,2238.9,113.9,158.4245292,6.300121092,81.51832628,4.409332132
2021,NA,NA,154.5741504,5.920588001,91.69276271,3.912774651
2017,NA,NA,162.6737325,7.035246924,77.74555898,3.804922432
1973,3274.25,382,266,83.4,NA,NA
1976,3406.666667,461.1111111,397,84.5,230.6,56.6
1979,1988.25,417,NA,NA,230.5733517,53.61490647
1988,1757.5,245,NA,NA,189.6143563,30.34923742
1977,3329.7,477.7272727,NA,NA,NA,NA
1978,2167.1,411.9,NA,NA,NA,NA
1985,2771.666667,333.3333333,NA,NA,NA,NA
1986,2280,492.5,NA,NA,NA,NA
1987,2071.428571,380,NA,NA,NA,NA
2022,2365.25,131.1,NA,NA,NA,NA
2024,2488.055556,150.8777778,NA,NA,NA,NA
