stream,n,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,1989,1990,1991,1992,1993,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2018,2019,2020,2021,2017
Bendstrup,365,15041903.8176,11828486.4192,NA,6756809.8752,14158103.2704,13055463.1008,NA,9781288.272,13785666.7392,9225327.9456,NA,10102947.5232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bendstrup,366,NA,NA,6772558.2624,NA,NA,NA,10515166.848,NA,NA,NA,11126130.7968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lyngby,362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4323907.872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3733036.6752,NA,NA,NA,NA,NA
Lyngby,365,4746469.536,NA,NA,1475165.4336,4606260.2208,NA,NA,3458000.2464,6437263.2768,6346030.752,NA,3399826.2624,NA,2936787.84,3933040.0608,NA,2626526.6496,4207550.6592,6254631.9936,NA,3377196.3744,4599234.432,5157855.36,NA,3250439.3664,3140994.24,4751122.8672,NA,2669036.2272,3558592.1376,NA,3409955.9712,NA
Lyngby,366,NA,NA,1603825.488,NA,NA,NA,3965379.4944,NA,NA,NA,4480263.0144,NA,NA,NA,NA,2845715.9328,NA,NA,NA,3895151.328,NA,NA,NA,3985347.4848,NA,NA,NA,NA,NA,NA,3065137.0272,NA,NA
Lyngby,364,NA,3515376.672,NA,NA,NA,4047727.248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Æbelholt,362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1168963.2288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Æbelholt,365,3357330.5952,2577593.4048,NA,1148069.2032,3147176.2464,2693979.9936,NA,2077424.7552,3326207.5008,1637234.0352,NA,1774595.7792,NA,1632840.5952,2302561.0368,NA,1835994.5568,1986119.3952,3541007.664,NA,2046248.8704,2839009.3056,3420435.7728,NA,1532328.624,2288155.7376,2643524.9856,NA,1739542.5216,1904999.5584,NA,1843082.8128,2471387.5008
Æbelholt,366,NA,NA,753101.9712,NA,NA,NA,2211618.2976,NA,NA,NA,2230616.1888,NA,NA,NA,NA,1845205.488,NA,NA,NA,2348481.2544,NA,NA,NA,2367759.0816,NA,NA,NA,1943766.1152000001,NA,NA,1699777.6992,NA,NA
Syd for Alsønderup,362,NA,NA,NA,NA,NA,NA,NA,21411005.616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syd for Alsønderup,365,NA,NA,NA,NA,NA,NA,NA,NA,33227830.9728,20369620.0224,NA,22756388.7456,NA,NA,NA,NA,NA,27033853.8528,36622661.5008,NA,22184918.4096,30373298.6112,36748132.3584,NA,20513933.0784,22244569.056,25726519.5552,NA,18909204.7104,24381387.1584,NA,20658912.7968,23104127.232
Syd for Alsønderup,366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28425427.632,NA,NA,NA,NA,NA,NA,NA,NA,23499766.3104,NA,NA,NA,23796975.744,NA,NA,NA,22653532.9152,NA,NA,18279257.2992,NA,NA
Arresø Kanal,365,64592035.2,57120403.392,NA,17007753.6,61338384,50988009.6,NA,32054313.6,64252483.2,33850051.2,NA,38379657.6,25153977.6,32493571.2,50873356.8,NA,34893331.2,43166452.5216,104232529.1232,NA,41218456.9536,56713901.5872,57949863.264,NA,28112370.623999998,25940849.3568,48519473.04,NA,29944088.64,37358358.2784,NA,41814341.2512,36829315.094399996
Arresø Kanal,366,NA,NA,11527237.872,NA,NA,NA,49108723.2,NA,NA,NA,40767532.5888,NA,NA,NA,NA,42847228.8,NA,NA,NA,42521601.888,NA,NA,NA,45587776.9248,NA,NA,NA,42293496.816,NA,NA,34874105.7312,NA,NA
